species,avonet_species_name,Order,status,IslandEndemic,Volancy,Mass,HWI,Habitat,Trophic.Level,Trophic.Niche,LAT,Beak.Length.culmen,Beak.Length.nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Tail.Length,status_group
Abeillia abeillei,Abeillia abeillei,Caprimulgiformes,LC,No,Volant,2.7,66.3,Forest,Herbivore,Nectarivore,15.29,13,9.5,1.2,1.7,6.3,47,30.5,15.5,29.4,Not threatened
Abroscopus albogularis,Abroscopus albogularis,Passeriformes,LC,No,Volant,4.8,13.3,Forest,Carnivore,Invertivore,24.78,9,4.9,2.7,2.3,15.3,43.4,5.7,37.3,38.7,Not threatened
Abroscopus schisticeps,Abroscopus schisticeps,Passeriformes,LC,No,Volant,4.7,16.1,Forest,Carnivore,Invertivore,26.7,9,4.7,2.6,2.3,16.5,47.1,7.6,39.5,47.5,Not threatened
Abroscopus superciliaris,Abroscopus superciliaris,Passeriformes,LC,No,Volant,6.5,12.7,Shrubland,Carnivore,Invertivore,9.89,12.3,7.4,3.1,2.8,16.6,51.2,6.5,44.5,42.4,Not threatened
Aburria aburri,Aburria aburri,Galliformes,NT,No,Volant,1405.1,15.7,Forest,Herbivore,Frugivore,-2.79,37.1,16.6,9.3,10.2,65.8,337.2,52.5,283.1,290.4,Not threatened
Acanthagenys rufogularis,Acanthagenys rufogularis,Passeriformes,LC,No,Volant,47.8,23.2,Shrubland,Omnivore,Omnivore,-27.1,25.7,11.3,3.7,5,25.1,111.1,25,82.8,111.4,Not threatened
Acanthidops bairdi,Acanthidops bairdi,Passeriformes,LC,No,Volant,16,17,Forest,Omnivore,Invertivore,9.56,16.2,10.8,3.9,5.3,20.9,66,11.3,54.7,52.1,Not threatened
Acanthis flammea,Acanthis flammea,Passeriformes,LC,No,Volant,13,33.1,Forest,Herbivore,Granivore,64.52,11.4,7.8,4.5,6.5,15.6,75.8,25,50.7,58.7,Not threatened
Acanthisitta chloris,Acanthisitta chloris,Passeriformes,LC,Yes,Volant,6.9,13.9,Forest,Carnivore,Invertivore,-42.25,12.1,6.3,2.4,2.2,18,46,6.2,38.1,23.5,Not threatened
Acanthiza apicalis,Acanthiza apicalis,Passeriformes,LC,No,Volant,7.6,14.2,Woodland,Carnivore,Invertivore,-27.63,11,5.9,2.2,2.6,19,51,7.2,43.2,44.1,Not threatened
Acanthiza chrysorrhoa,Acanthiza chrysorrhoa,Passeriformes,LC,No,Volant,9.3,15.6,Woodland,Carnivore,Invertivore,-28.8,11.7,6.2,2.1,2.5,18,58.3,9.1,49.1,37.9,Not threatened
Acanthiza cinerea,Acanthiza cinerea,Passeriformes,LC,No,Volant,7.6,19.2,Forest,Carnivore,Invertivore,-5.22,10.6,6,2.6,2.8,19.2,52,10.1,42.2,32.4,Not threatened
Acanthiza ewingii,Acanthiza ewingii,Passeriformes,LC,No,Volant,6.9,16.3,Forest,Carnivore,Invertivore,-41.94,10.7,5.6,1.9,2.5,21.5,52.2,8.3,42.5,46.4,Not threatened
Acanthiza inornata,Acanthiza inornata,Passeriformes,LC,No,Volant,7,12.8,Woodland,Carnivore,Invertivore,-32.67,11.3,5.9,2.3,2.7,17.3,47.8,6,41,36.4,Not threatened
Acanthiza iredalei,Acanthiza iredalei,Passeriformes,LC,No,Volant,6,15.3,Shrubland,Carnivore,Invertivore,-31.22,9.2,4.8,2,2.3,17.4,48.4,7.2,39.8,39.3,Not threatened
Acanthiza katherina,Acanthiza katherina,Passeriformes,LC,No,Volant,7.2,17.6,Forest,Carnivore,Invertivore,-17.76,11.5,5.8,2.4,2.6,18.1,52.1,9.1,42.7,41.1,Not threatened
Acanthiza lineata,Acanthiza lineata,Passeriformes,LC,No,Volant,6.9,19.1,Forest,Omnivore,Invertivore,-32.16,9.9,5,2.1,2.8,17.1,51.5,9.4,40,37.9,Not threatened
Acanthiza murina,Acanthiza murina,Passeriformes,LC,No,Volant,8.4,22.5,Forest,Carnivore,Invertivore,-5.39,11.4,6,2.4,2.9,17.9,57.1,12.7,44,35,Not threatened
Acanthiza nana,Acanthiza nana,Passeriformes,LC,No,Volant,6.2,17.8,Shrubland,Carnivore,Invertivore,-29.95,10,5.2,2.1,2.7,17.2,49.1,8.8,40.8,36.8,Not threatened
Acanthiza pusilla,Acanthiza pusilla,Passeriformes,LC,No,Volant,7.6,14.6,Shrubland,Carnivore,Invertivore,-32.24,11.2,5.3,2.1,2.6,18.7,51.8,7.6,44.1,43.4,Not threatened
Acanthiza reguloides,Acanthiza reguloides,Passeriformes,LC,No,Volant,7.7,14,Forest,Carnivore,Invertivore,-29.59,11,6,2.2,2.6,16.7,52,7.3,44.7,38.9,Not threatened
Acanthiza robustirostris,Acanthiza robustirostris,Passeriformes,LC,No,Volant,6.1,15.2,Woodland,Carnivore,Invertivore,-25.85,9.9,5.1,2.3,2.7,19.1,50.8,7.6,42.8,40.2,Not threatened
Acanthiza uropygialis,Acanthiza uropygialis,Passeriformes,LC,No,Volant,6.4,15,Woodland,Carnivore,Invertivore,-28.24,10.2,5.3,2,2.3,18,51.8,7.9,44.6,38.3,Not threatened
Acanthoptila nipalensis,Acanthoptila nipalensis,Passeriformes,LC,No,Volant,61,5.7,Shrubland,Carnivore,Invertivore,28.38,23.6,14.2,4.5,6.3,29.7,82.2,4.7,77.8,112.6,Not threatened
Acanthorhynchus superciliosus,Acanthorhynchus superciliosus,Passeriformes,LC,No,Volant,9.7,15.9,Shrubland,Herbivore,Nectarivore,-32.88,23.6,15.5,2.3,2.8,19.9,61.3,9.5,50.1,54.3,Not threatened
Acanthorhynchus tenuirostris,Acanthorhynchus tenuirostris,Passeriformes,LC,No,Volant,10.4,20.6,Forest,Omnivore,Nectarivore,-33.06,26.8,18.9,2.3,2.7,18,65.6,14.2,54.6,57.1,Not threatened
Acanthornis magna,Acanthornis magna,Passeriformes,LC,No,Volant,10.2,16.6,Forest,Carnivore,Invertivore,-41.92,15.2,8.4,2.3,2.9,21.9,56,9.2,46.1,48,Not threatened
Accipiter albogularis,Accipiter albogularis,Accipitriformes,LC,Yes,Volant,248.8,33.9,Forest,Carnivore,Vertivore,-8.15,27.7,17.8,10.6,14.7,62,235.2,81.8,159.5,169,Not threatened
Accipiter badius,Accipiter badius,Accipitriformes,LC,No,Volant,131.2,32.9,Shrubland,Carnivore,Vertivore,8.23,20.6,12.1,8.8,11.6,43,186.7,62.5,127.4,140.6,Not threatened
Accipiter bicolor,Accipiter bicolor,Accipitriformes,LC,No,Volant,287.5,24.6,Woodland,Carnivore,Vertivore,-10.1,25,13.7,8.6,12.7,58.1,229.6,56.6,174.8,186.3,Not threatened
Accipiter brachyurus,Accipiter brachyurus,Accipitriformes,VU,Yes,Volant,142,31.7,Forest,Carnivore,Vertivore,-5.45,22.5,14,8.9,11.9,61.2,202.2,64.1,138.1,140.8,Threatened
Accipiter brevipes,Accipiter brevipes,Accipitriformes,LC,No,Volant,186.5,40.2,Forest,Carnivore,Vertivore,45.24,21.1,12.1,8.7,11.1,46.4,217.6,87.8,129.9,153.5,Not threatened
Accipiter butleri,Accipiter butleri,Accipitriformes,VU,Yes,Volant,122,25.8,Forest,Carnivore,Vertivore,8.42,20,11.9,6.6,12,48.7,166,42.9,123.1,127,Threatened
Accipiter castanilius,Accipiter castanilius,Accipitriformes,LC,No,Volant,157.5,24,Forest,Carnivore,Vertivore,0.71,20.5,11.5,8.3,10.9,52.6,163.5,38.9,123.1,135.4,Not threatened
Accipiter cirrocephalus,Accipiter cirrocephalus,Accipitriformes,LC,No,Volant,165.7,37.8,Forest,Carnivore,Vertivore,-23.36,19.2,10.6,7.7,9.6,60.3,213,81.3,133.7,155.4,Not threatened
Accipiter collaris,Accipiter collaris,Accipitriformes,LC,No,Volant,97.8,30,Forest,Carnivore,Vertivore,2.47,20,11.2,8.6,11,43.6,165.9,49.5,115.2,125,Not threatened
Accipiter cooperii,Accipiter cooperii,Accipitriformes,LC,No,Volant,429.7,32.3,Woodland,Carnivore,Vertivore,41.25,25.4,13.9,8.6,13.2,62,241.2,77.8,163.5,188.4,Not threatened
Accipiter erythrauchen,Accipiter erythrauchen,Accipitriformes,NT,Yes,Volant,156,30.8,Forest,Carnivore,Vertivore,-1.32,21.1,12.2,8.6,11.2,59.5,191.2,58.9,132.4,154.8,Not threatened
Accipiter erythropus,Accipiter erythropus,Accipitriformes,LC,No,Volant,111.2,27.1,Forest,Carnivore,Vertivore,3.48,17.6,9.7,7.2,9.6,43,154.6,40.9,110.1,104.4,Not threatened
Accipiter fasciatus,Accipiter fasciatus,Accipitriformes,LC,No,Volant,358.7,38.3,Forest,Carnivore,Vertivore,-24.45,28.5,19.1,11.2,15.2,71.9,269.9,103.6,167.3,206,Not threatened
Accipiter francesiae,Accipiter francesiae,Accipitriformes,LC,Yes,Volant,136.8,27.8,Forest,Carnivore,Invertivore,-19.49,20.2,13.1,8.7,10.7,48.1,155.8,43.2,112.8,127.5,Not threatened
Accipiter gentilis,Accipiter gentilis,Accipitriformes,LC,No,Volant,866,36.3,Forest,Carnivore,Vertivore,54.91,33.7,19.6,11.6,18,67.3,337.6,122.6,215,241.1,Not threatened
Accipiter griseiceps,Accipiter griseiceps,Accipitriformes,LC,Yes,Volant,251.8,26.8,Forest,Carnivore,Vertivore,-1.96,24.1,14.6,8.8,12.4,52,187.2,50,137.3,141.2,Not threatened
Accipiter gularis,Accipiter gularis,Accipitriformes,LC,No,Volant,120.7,33.2,Forest,Carnivore,Vertivore,49.07,23.3,9.5,6.6,9.1,43.6,162.6,54.2,109,106.4,Not threatened
Accipiter gundlachi,Accipiter gundlachi,Accipitriformes,EN,Yes,Volant,675,27.1,Forest,Carnivore,Vertivore,21.62,26,15.2,8.3,16.3,71.3,228,61.8,166.2,223,Threatened
Accipiter haplochrous,Accipiter haplochrous,Accipitriformes,NT,Yes,Volant,198.4,32.7,Forest,Carnivore,Vertivore,-21.33,23.7,13.9,9.6,13.2,58.9,227.8,74.5,153.2,155,Not threatened
Accipiter henicogrammus,Accipiter henicogrammus,Accipitriformes,NT,Yes,Volant,358.7,31.1,Forest,Carnivore,Vertivore,0.88,27.9,15.9,10,13.6,65.1,230.2,72,160.5,190,Not threatened
Accipiter henstii,Accipiter henstii,Accipitriformes,VU,Yes,Volant,1050,27,Forest,Carnivore,Vertivore,-18.72,32.6,18.1,11.8,17.2,75,290.5,78,212.5,245,Threatened
Accipiter hiogaster,Accipiter hiogaster,Accipitriformes,LC,No,Volant,326.1,30.8,Forest,Carnivore,Vertivore,-5.26,26,15.9,9.4,13.9,51.1,197.2,60.8,136.5,136.5,Not threatened
Accipiter imitator,Accipiter imitator,Accipitriformes,VU,Yes,Volant,222.5,30,Forest,Carnivore,Vertivore,-6.76,26.4,16.8,9.1,12.2,49.6,200,60,140,161,Threatened
Accipiter luteoschistaceus,Accipiter luteoschistaceus,Accipitriformes,VU,Yes,Volant,214,30.3,Forest,Carnivore,Vertivore,-5.5,26.4,16.8,7.8,11.9,51.5,188,57,131,146,Threatened
Accipiter madagascariensis,Accipiter madagascariensis,Accipitriformes,NT,Yes,Volant,180.4,28.7,Forest,Carnivore,Vertivore,-19.43,19.7,10.7,7.4,9.4,58,190.8,54.5,136.2,149.5,Not threatened
Accipiter melanochlamys,Accipiter melanochlamys,Accipitriformes,LC,No,Volant,265,32.4,Forest,Carnivore,Vertivore,-5.31,25.9,15.6,11,13.9,62.7,228.6,75,156.2,164.8,Not threatened
Accipiter melanoleucus,Accipiter melanoleucus,Accipitriformes,LC,No,Volant,699,35,Forest,Carnivore,Vertivore,-5.51,29.6,18,10.3,16.3,75.8,302.8,107.2,200.8,219.4,Not threatened
Accipiter meyerianus,Accipiter meyerianus,Accipitriformes,LC,No,Volant,763.5,33,Forest,Carnivore,Vertivore,-4.7,35,20.6,12.6,18.6,75.4,309.5,102,207.5,200,Not threatened
Accipiter minullus,Accipiter minullus,Accipitriformes,LC,No,Volant,87.4,29.6,Forest,Carnivore,Vertivore,-9.71,16.5,9.2,6.6,8.8,41.3,150.4,44.6,105.8,105.2,Not threatened
Accipiter nanus,Accipiter nanus,Accipitriformes,NT,Yes,Volant,117,29.5,Forest,Carnivore,Invertivore,-1.08,17.6,10.6,7.6,10.1,46.6,152.4,44.9,107.5,109,Not threatened
Accipiter nisus,Accipiter nisus,Accipitriformes,LC,No,Volant,220.8,35.5,Forest,Carnivore,Vertivore,54.67,19.6,11.4,8.4,10,53.6,207.4,74.2,134.3,155.5,Not threatened
Accipiter novaehollandiae,Accipiter novaehollandiae,Accipitriformes,LC,No,Volant,326.1,28.9,Forest,Carnivore,Vertivore,-26.72,31.6,19.9,11.5,16.5,69,261.9,76,188.3,183.6,Not threatened
Accipiter ovampensis,Accipiter ovampensis,Accipitriformes,LC,No,Volant,195,38.4,Shrubland,Carnivore,Vertivore,-8.53,20.5,11.2,7.5,10.3,49.4,222.4,86.2,138.5,155,Not threatened
Accipiter poliocephalus,Accipiter poliocephalus,Accipitriformes,LC,No,Volant,214.8,32.1,Forest,Carnivore,Vertivore,-5.32,25,15.4,10.1,13.7,60.3,210.5,67.8,142.8,157.2,Not threatened
Accipiter poliogaster,Accipiter poliogaster,Accipitriformes,NT,No,Volant,315,29.6,Forest,Carnivore,Vertivore,-7.81,27.7,14.9,8,13.2,52.4,240.4,72.6,172.2,174.6,Not threatened
Accipiter princeps,Accipiter princeps,Accipitriformes,VU,Yes,Volant,214.8,29.2,Forest,Carnivore,Vertivore,-5.35,33.6,22.2,13.8,17.8,68,266.3,77.8,188.5,192.3,Threatened
Accipiter rhodogaster,Accipiter rhodogaster,Accipitriformes,LC,Yes,Volant,172.7,29.7,Forest,Carnivore,Vertivore,-1.93,20.5,11.8,7.9,10.8,53.4,172.6,51.6,122.4,125.8,Not threatened
Accipiter rufitorques,Accipiter rufitorques,Accipitriformes,LC,Yes,Volant,209,34.1,Forest,Carnivore,Vertivore,-17.45,26,15.4,10.3,13.7,59.2,217.6,73.5,142,146,Not threatened
Accipiter rufiventris,Accipiter rufiventris,Accipitriformes,LC,No,Volant,198,38.1,Forest,Carnivore,Vertivore,-7.01,20.3,10.7,7.8,10,54.2,218.6,83,134.3,165.8,Not threatened
Accipiter soloensis,Accipiter soloensis,Accipitriformes,LC,No,Volant,164.8,39,Forest,Carnivore,Vertivore,31.97,25.6,11.4,8.6,9.7,39.5,187.8,73.1,114.4,123.4,Not threatened
Accipiter striatus,Accipiter striatus,Accipitriformes,LC,No,Volant,130.6,30.7,Forest,Carnivore,Vertivore,34.35,18.3,10.1,7.3,9.4,49.9,181.6,56.6,126.8,134.3,Not threatened
Accipiter superciliosus,Accipiter superciliosus,Accipitriformes,LC,No,Volant,96.4,26.9,Forest,Carnivore,Vertivore,-6.22,19.4,10.8,6.7,10.4,37.4,146.4,38.6,105.2,104.6,Not threatened
Accipiter sylvestris,Accipiter sylvestris,Accipitriformes,LC,Yes,Volant,326.1,32,Forest,Carnivore,Vertivore,-8.57,26,14.9,9.2,13.1,54.5,206.4,66,140.4,146.9,Not threatened
Accipiter tachiro,Accipiter tachiro,Accipitriformes,LC,No,Volant,290.2,25.7,Forest,Carnivore,Vertivore,-12.54,18,15.3,9.1,12.4,65.7,217.4,55.6,161.8,175,Not threatened
Accipiter toussenelii,Accipiter toussenelii,Accipitriformes,LC,No,Volant,249.3,24.4,Forest,Carnivore,Vertivore,3.51,24.4,13.9,9.2,11.9,62.1,189,48.2,149.6,157.2,Not threatened
Accipiter trinotatus,Accipiter trinotatus,Accipitriformes,LC,Yes,Volant,146,27.2,Forest,Carnivore,Vertivore,-1.81,20.4,13.3,8.6,11.2,48.2,162.9,43,115,128.8,Not threatened
Accipiter trivirgatus,Accipiter trivirgatus,Accipitriformes,LC,No,Volant,265,23,Forest,Carnivore,Vertivore,13.91,31.7,17.3,10.5,14.1,56.9,216.2,49.6,166.1,171.9,Not threatened
Accipiter virgatus,Accipiter virgatus,Accipitriformes,LC,No,Volant,117,27.4,Forest,Carnivore,Vertivore,22.08,21.2,11.7,7.6,10.2,49.8,167.7,46.7,123.1,123.9,Not threatened
Aceros nipalensis,Aceros nipalensis,Bucerotiformes,VU,No,Volant,2385,21.6,Forest,Herbivore,Frugivore,24.08,204,177.7,45.4,75.1,74.7,431.7,93.1,338.6,457.7,Threatened
Achaetops pycnopygius,Achaetops pycnopygius,Passeriformes,LC,No,Volant,28.3,6.6,Rock,Carnivore,Invertivore,-18.6,20.1,9.5,3.3,4.6,24.2,68.1,4.4,62.7,79.4,Not threatened
Acridotheres albocinctus,Acridotheres albocinctus,Passeriformes,LC,No,Volant,98.9,25.3,Grassland,Omnivore,Omnivore,23.37,28.2,15.3,5.8,7.3,36.7,125.8,31.3,92.4,80.7,Not threatened
Acridotheres burmannicus,Acridotheres burmannicus,Passeriformes,LC,No,Volant,89,26.9,Grassland,Omnivore,Omnivore,20.71,23.4,14.2,4.8,5.9,31.8,113.8,30.5,83.2,68,Not threatened
Acridotheres cinereus,Acridotheres cinereus,Passeriformes,VU,Yes,Volant,98.9,23.5,Grassland,Omnivore,Omnivore,-4.68,27.3,15.9,6.5,7.4,36,125.9,29.5,96.4,79,Threatened
Acridotheres cristatellus,Acridotheres cristatellus,Passeriformes,LC,No,Volant,116.3,24.1,Grassland,Omnivore,Omnivore,26.65,27.1,15.7,6.1,8.1,38.1,134,32.1,101.5,81.2,Not threatened
Acridotheres fuscus,Acridotheres fuscus,Passeriformes,LC,No,Volant,82.8,24.7,Woodland,Omnivore,Omnivore,21.75,27.2,16.1,6.6,7.3,36.5,123.6,30.7,93.6,74.9,Not threatened
Acridotheres ginginianus,Acridotheres ginginianus,Passeriformes,LC,No,Volant,72,24.3,Grassland,Omnivore,Omnivore,25.86,24.4,14.2,5.5,6.7,34.2,120.2,29.1,90.5,77.5,Not threatened
Acridotheres grandis,Acridotheres grandis,Passeriformes,LC,No,Volant,98.9,24.9,Grassland,Omnivore,Invertivore,17.79,25.9,16.9,6.6,7.9,36.5,134.6,33.5,101.2,77.2,Not threatened
Acridotheres javanicus,Acridotheres javanicus,Passeriformes,VU,No,Volant,93.5,21.3,Grassland,Omnivore,Invertivore,-7.35,25.9,14.7,5.9,7.2,35.9,122.6,26.1,96.5,70.5,Threatened
Acridotheres leucocephalus,Acridotheres leucocephalus,Passeriformes,LC,No,Volant,89,26.9,Grassland,Omnivore,Omnivore,13.09,23.4,14.2,4.8,5.9,31.8,113.8,30.5,83.2,68,Not threatened
Acridotheres melanopterus,Acridotheres melanopterus,Passeriformes,EN,No,Volant,89,22.9,Woodland,Herbivore,Omnivore,-6.11,25.4,14.8,5.5,6.2,35.8,124.2,28.4,95.6,72.6,Threatened
Acridotheres tristis,Acridotheres tristis,Passeriformes,LC,No,Volant,116.4,23.6,Human Modified,Carnivore,Omnivore,27.06,26.8,16,6.4,8,38.6,139.8,32.8,106.3,84.8,Not threatened
Acritillas indica,Acritillas indica,Passeriformes,LC,No,Volant,30.6,15.7,Forest,Herbivore,Omnivore,11.48,20.1,12,4.8,4.9,18.2,88.2,13.7,73.9,80.8,Not threatened
Acrobatornis fonsecai,Acrobatornis fonsecai,Passeriformes,VU,No,Volant,13.7,21.2,Forest,Carnivore,Invertivore,-15.42,10.4,7.3,3,3.6,17.6,62.9,13.6,48.3,56.6,Threatened
Acrocephalus aequinoctialis,Acrocephalus aequinoctialis,Passeriformes,EN,Yes,Volant,25,19.5,Shrubland,Carnivore,Invertivore,2.11,20.9,11,3.4,3.5,24.5,73.5,14.3,59.2,63.5,Threatened
Acrocephalus agricola,Acrocephalus agricola,Passeriformes,LC,No,Volant,9.6,18.4,Wetland,Carnivore,Invertivore,46.5,13.6,7.8,3.2,2.8,21.1,55.2,10.1,44.7,54.9,Not threatened
Acrocephalus arundinaceus,Acrocephalus arundinaceus,Passeriformes,LC,No,Volant,30,28.6,Wetland,Carnivore,Invertivore,49.39,23,12.8,4.7,5.4,28.1,95.4,27.2,68.1,80.8,Not threatened
Acrocephalus atyphus,Acrocephalus atyphus,Passeriformes,LC,Yes,Volant,30,18.6,Shrubland,Carnivore,Invertivore,-16.91,26.7,15,4.7,4.9,28.1,88.3,16.3,71.6,78.2,Not threatened
Acrocephalus australis,Acrocephalus australis,Passeriformes,LC,No,Volant,17.7,22.9,Wetland,Carnivore,Invertivore,-21.31,19.9,10.6,3.8,4.1,24,71.6,16.3,55,67,Not threatened
Acrocephalus bistrigiceps,Acrocephalus bistrigiceps,Passeriformes,LC,No,Volant,8.7,21.9,Wetland,Carnivore,Invertivore,43.82,13.4,7.7,3,2.6,20.1,52.7,11.4,40.7,50.4,Not threatened
Acrocephalus brevipennis,Acrocephalus brevipennis,Passeriformes,VU,Yes,Volant,16,16,Shrubland,Carnivore,Invertivore,15.18,19.3,11.9,4,3.5,26.3,65.9,10.6,55.4,61.5,Threatened
Acrocephalus caffer,Acrocephalus caffer,Passeriformes,VU,Yes,Volant,43.8,17.9,Forest,Carnivore,Invertivore,-17.65,33.1,19,5,5.1,30.7,93.2,16.6,76.5,81.8,Threatened
Acrocephalus concinens,Acrocephalus concinens,Passeriformes,LC,No,Volant,8.3,17.6,Wetland,Carnivore,Invertivore,33.61,13.7,8,3.3,2.9,22,55.6,9.7,45.5,56,Not threatened
Acrocephalus dumetorum,Acrocephalus dumetorum,Passeriformes,LC,No,Volant,11.2,20.4,Wetland,Carnivore,Invertivore,55.04,16.4,9.2,3.6,3.1,22.3,62.1,12.7,49.6,53.1,Not threatened
Acrocephalus familiaris,Acrocephalus familiaris,Passeriformes,CR,Yes,Volant,18.3,15.1,Shrubland,Carnivore,Invertivore,23.06,17.1,9.6,3.4,3.5,21.4,60.5,9.1,51.4,56.5,Threatened
Acrocephalus gracilirostris,Acrocephalus gracilirostris,Passeriformes,LC,No,Volant,14.4,12.6,Wetland,Carnivore,Invertivore,-13.82,17.8,9.9,3.5,3.5,23.5,64.7,7.9,55,59.3,Not threatened
Acrocephalus griseldis,Acrocephalus griseldis,Passeriformes,EN,No,Volant,16.7,29.2,Wetland,Carnivore,Invertivore,31.95,21.2,12.9,4,3.8,24.2,79.9,23.2,56.4,64,Threatened
Acrocephalus hiwae,Acrocephalus hiwae,Passeriformes,CR,Yes,Volant,35.6,17.8,Wetland,Carnivore,Invertivore,15.34,35.6,20.9,5.1,4.9,30.3,89,15.8,73.2,81.5,Threatened
Acrocephalus kerearako,Acrocephalus kerearako,Passeriformes,NT,Yes,Volant,22.5,18.1,Forest,Carnivore,Invertivore,-21.34,21.3,11.7,4.4,4.2,27.2,73,13.2,59.8,77,Not threatened
Acrocephalus longirostris,Acrocephalus longirostris,Passeriformes,CR,Yes,Volant,43.8,17.9,Forest,Carnivore,Invertivore,-17.53,33.1,19,5,5.1,30.7,93.2,16.6,76.5,81.8,Threatened
Acrocephalus melanopogon,Acrocephalus melanopogon,Passeriformes,LC,No,Volant,10.9,19.3,Wetland,Carnivore,Invertivore,42.27,12.7,7.2,2.6,2.5,19,56.7,10.9,45.8,47.8,Not threatened
Acrocephalus mendanae,Acrocephalus mendanae,Passeriformes,LC,Yes,Volant,36.3,19.8,Shrubland,Carnivore,Invertivore,-9.83,30.4,18.6,5.1,5.1,30.2,97.3,19.2,77.9,86.8,Not threatened
Acrocephalus newtoni,Acrocephalus newtoni,Passeriformes,LC,Yes,Volant,17,14.9,Wetland,Carnivore,Invertivore,-19.38,18.1,10.3,3.7,3.6,25.6,66.5,9.8,56.3,76.2,Not threatened
Acrocephalus orientalis,Acrocephalus orientalis,Passeriformes,LC,No,Volant,23.5,20.9,Wetland,Carnivore,Invertivore,43.41,20.8,12.9,4.6,4.8,26.5,79,16.4,62,69.2,Not threatened
Acrocephalus orinus,Acrocephalus orinus,Passeriformes,DD,No,Volant,24.2,20.3,Wetland,Carnivore,Invertivore,37.13,16.8,9.6,4,3.1,21.8,58,11.8,46.2,55.4,DD
Acrocephalus paludicola,Acrocephalus paludicola,Passeriformes,VU,No,Volant,11.6,28.4,Wetland,Carnivore,Invertivore,52.09,12.3,7,2.6,2.9,19.4,62.1,17.7,44.4,47.2,Threatened
Acrocephalus palustris,Acrocephalus palustris,Passeriformes,LC,No,Volant,11.5,27.9,Shrubland,Carnivore,Invertivore,51.96,16.1,8.2,3.3,3.3,21.3,68.6,19.2,49.6,56.5,Not threatened
Acrocephalus percernis,Acrocephalus percernis,Passeriformes,LC,Yes,Volant,31.2,18.9,Shrubland,Carnivore,Invertivore,-8.79,29.7,17.6,5,5.2,30.1,100.6,19,81.6,92.5,Not threatened
Acrocephalus rehsei,Acrocephalus rehsei,Passeriformes,VU,Yes,Volant,20.1,13.8,Forest,Carnivore,Invertivore,-0.53,21.2,12,4.2,3.8,27.9,71.5,9.9,61.6,66,Threatened
Acrocephalus rimitarae,Acrocephalus rimitarae,Passeriformes,CR,Yes,Volant,26.5,16.7,Wetland,Carnivore,Invertivore,-22.65,24.6,13.6,4.2,4.1,29.4,84.5,14.1,70.4,85,Threatened
Acrocephalus rodericanus,Acrocephalus rodericanus,Passeriformes,NT,Yes,Volant,11.8,16.9,Shrubland,Carnivore,Invertivore,-19.7,17.7,10.3,3.2,2.9,23.1,60.4,10.2,50.2,74.4,Not threatened
Acrocephalus rufescens,Acrocephalus rufescens,Passeriformes,LC,No,Volant,22.7,14.9,Wetland,Carnivore,Invertivore,1.16,20.7,11.9,4.5,4,27.8,72.3,10.8,61.5,69,Not threatened
Acrocephalus schoenobaenus,Acrocephalus schoenobaenus,Passeriformes,LC,No,Volant,11.8,28.2,Wetland,Carnivore,Invertivore,56.04,14.9,8.2,2.9,2.8,20.9,65.4,18.4,46.9,48.9,Not threatened
Acrocephalus scirpaceus,Acrocephalus scirpaceus,Passeriformes,LC,No,Volant,12.3,24.3,Wetland,Carnivore,Invertivore,25.94,18.2,8.7,3.2,2.9,21.3,65.3,16,49.5,51.1,Not threatened
Acrocephalus sechellensis,Acrocephalus sechellensis,Passeriformes,NT,Yes,Volant,15.9,11.8,Shrubland,Carnivore,Invertivore,-4.27,17.7,10.2,4,3.3,24,65.8,7.8,58.4,60.6,Not threatened
Acrocephalus sorghophilus,Acrocephalus sorghophilus,Passeriformes,EN,No,Volant,8.2,23.6,Wetland,Carnivore,Invertivore,41.635271,14.9,9.7,3.4,3.6,22.4,65.5,15.4,50.1,55.8,Threatened
Acrocephalus stentoreus,Acrocephalus stentoreus,Passeriformes,LC,No,Volant,24.2,22.6,Wetland,Carnivore,Invertivore,32.95,24.6,14.7,4.4,4.6,27.3,80.1,18.2,62.1,74.5,Not threatened
Acrocephalus syrinx,Acrocephalus syrinx,Passeriformes,LC,Yes,Volant,34,16.3,Forest,Carnivore,Invertivore,6.63,24.8,14.2,4.5,4.2,26.1,76,12.3,63.4,71.4,Not threatened
Acrocephalus taiti,Acrocephalus taiti,Passeriformes,VU,Yes,Volant,24.3,17,Woodland,Carnivore,Invertivore,-24.38,20.5,12.1,4.1,4,29.5,82,13.9,68.1,78,Threatened
Acrocephalus tangorum,Acrocephalus tangorum,Passeriformes,VU,No,Volant,8,19.4,Wetland,Carnivore,Invertivore,49.24,14.5,8.6,3.6,2.8,21.6,53.5,10.3,43.1,53.2,Threatened
Acrocephalus vaughani,Acrocephalus vaughani,Passeriformes,EN,Yes,Volant,24.4,17.1,Forest,Carnivore,Invertivore,-25.07,20.4,11.8,4.2,4,27.9,77.4,13.3,64.7,71.4,Threatened
Acropternis orthonyx,Acropternis orthonyx,Passeriformes,LC,No,Volant,89.9,5.5,Forest,Carnivore,Invertivore,1.6,22.9,10.4,4.5,6.5,36.4,94.8,5.2,89.9,88.9,Not threatened
