species,avonet_species_name,Order,status,IslandEndemic,Volancy,Mass,HWI,Habitat,Trophic.Level,Trophic.Niche,LAT,Beak.Length.culmen,Beak.Length.nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Tail.Length,status_group
Crotophaga ani,Crotophaga ani,Cuculiformes,LC,No,Volant,110.1,24.8,Human Modified,Carnivore,Omnivore,-8.83,30.6,18.4,9.9,21.1,35.8,144,35.5,107.3,180.6,Not threatened
Crotophaga major,Crotophaga major,Cuculiformes,LC,No,Volant,148.3,23.7,Forest,Omnivore,Omnivore,-8.14,47.2,32.8,13.7,21.5,41,193.6,46,147.8,252.2,Not threatened
Crotophaga sulcirostris,Crotophaga sulcirostris,Cuculiformes,LC,No,Volant,82,19.3,Human Modified,Carnivore,Invertivore,12.58,26.9,17.7,9.5,16.5,33.8,129.3,24.8,103,162.7,Not threatened
Crypsirina cucullata,Crypsirina cucullata,Passeriformes,NT,No,Volant,132.5,14.7,Forest,Carnivore,Invertivore,21.18,22,13.4,7.9,10.2,26.9,107.5,15.8,91.8,175.7,Not threatened
Crypsirina temia,Crypsirina temia,Passeriformes,LC,No,Volant,129.5,12.5,Forest,Omnivore,Omnivore,14.19,28.2,19.2,9.8,11.8,27.7,117.5,14.7,102.6,178.9,Not threatened
Cryptillas victorini,Cryptillas victorini,Passeriformes,LC,No,Volant,10,6,Shrubland,Carnivore,Invertivore,-33.64,13.9,7,2.5,3.1,20.8,52,3.1,48.9,72.1,Not threatened
Cryptoleucopteryx plumbea,Cryptoleucopteryx plumbea,Accipitriformes,NT,No,Volant,482,31,Forest,Carnivore,Vertivore,4.34,32.1,21,11.2,16.7,58.9,238,74.2,164.8,145.4,Not threatened
Cryptolybia olivacea,Cryptolybia olivacea,Piciformes,LC,No,Volant,49.4,18.3,Forest,Omnivore,Frugivore,-11.02,17.7,12.5,7.7,8.7,21.9,87.8,16.1,71.7,52.2,Not threatened
Cryptomicroeca flaviventris,Cryptomicroeca flaviventris,Passeriformes,LC,Yes,Volant,13,22,Forest,Carnivore,Invertivore,-21.34,13.6,7.7,3.9,3.2,19,73,16.1,56.9,54.5,Not threatened
Cryptophaps poecilorrhoa,Cryptophaps poecilorrhoa,Columbiformes,LC,Yes,Volant,467,28.4,Forest,Herbivore,Frugivore,-1.57,26.3,11.2,6.4,5.7,35.1,231.3,65.6,165.7,192.3,Not threatened
Cryptopipo holochlora,Cryptopipo holochlora,Passeriformes,LC,No,Volant,14.9,19.4,Forest,Omnivore,Frugivore,-5.58,14.5,7.3,3.8,3.8,15.4,72.1,14,58.1,44.4,Not threatened
Cryptopipo litae,Cryptopipo litae,Passeriformes,LC,No,Volant,14.9,21.3,Forest,Omnivore,Frugivore,3.82,13.3,7.5,4.3,4.5,14,69.2,14.7,54.5,46.8,Not threatened
Cryptospiza jacksoni,Cryptospiza jacksoni,Passeriformes,LC,No,Volant,13,10.3,Forest,Herbivore,Granivore,-1.94,11.3,8.4,5.5,6.5,18.7,56.2,5.8,50.2,45.4,Not threatened
Cryptospiza reichenovii,Cryptospiza reichenovii,Passeriformes,LC,No,Volant,12.4,15,Forest,Herbivore,Granivore,-6.37,11.6,8.1,6,6.3,17.5,53.4,7.9,44.6,40.5,Not threatened
Cryptospiza salvadorii,Cryptospiza salvadorii,Passeriformes,LC,No,Volant,12.2,15.3,Forest,Herbivore,Granivore,2.92,10.9,7.9,5.4,6.5,17.2,56.4,8.6,47.6,42.1,Not threatened
Cryptospiza shelleyi,Cryptospiza shelleyi,Passeriformes,EN,No,Volant,17.6,15.8,Forest,Herbivore,Granivore,-2.14,12.1,9.5,6.8,8,21.4,64,10.1,53.9,49,Threatened
Cryptosylvicola randrianasoloi,Cryptosylvicola randrianasoloi,Passeriformes,LC,Yes,Volant,8.6,12.8,Forest,Carnivore,Invertivore,-18.32,13.6,7.3,2.5,2.8,17,50,6.4,43.6,46.8,Not threatened
Crypturellus atrocapillus,Crypturellus atrocapillus,Struthioniformes,LC,No,Volant,453,21.6,Forest,Herbivore,Omnivore,-14.81,32.3,11.4,5.4,5,52.6,165.7,36.1,129.6,44.3,Not threatened
Crypturellus bartletti,Crypturellus bartletti,Struthioniformes,LC,No,Volant,241,26.7,Forest,Herbivore,Omnivore,-7.6,25,8.9,4.7,4.7,40.7,135.6,36.1,99.5,40,Not threatened
Crypturellus berlepschi,Crypturellus berlepschi,Struthioniformes,LC,No,Volant,516.8,23.3,Forest,Herbivore,Omnivore,3.4,27.9,10.5,5.3,6.5,53.4,164.6,38.1,126.5,54.2,Not threatened
Crypturellus boucardi,Crypturellus boucardi,Struthioniformes,LC,No,Volant,435.6,25.1,Forest,Herbivore,Omnivore,15.51,28.9,10.9,5.2,4.8,50,165,41.4,123.6,49.2,Not threatened
Crypturellus brevirostris,Crypturellus brevirostris,Struthioniformes,LC,No,Volant,221,18.8,Forest,Herbivore,Omnivore,-2.04,24.5,9.2,4.9,5,43.9,138.6,26.1,112.5,48.2,Not threatened
Crypturellus casiquiare,Crypturellus casiquiare,Struthioniformes,LC,No,Volant,250,23.3,Forest,Herbivore,Omnivore,1.4,25,8.9,4.3,4.4,43.8,135.2,31.6,103.6,32.5,Not threatened
