avonet_species_name,species,name_change,Order,status,IslandEndemic,Volancy,Mass,HWI,Habitat.x,Trophic.Level,Trophic.Niche,LAT,Beak.Length.culmen,Beak.Length.nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Tail.Length,Family,RedlistCategory,Threat,LogRangeSize,LogBodyMass,Diet,Foraging,Migration,MatingSystem,NestPlacement,Territoriality,Habitat.y,IslandDwelling,LogClutchSize,LogNightLights,LogHumanPopulationDensity
Pachyptila desolata,Pachyptila desolata,0,Procellariiformes,LC,No,Volant,147,57.1,Marine,Carnivore,Aquatic predator,-49.02,29.7,21.8,10.1,8.9,31.2,182.4,103.5,77.8,86.8,Procellariidae,LC,0,18.24813588,4.990432587,AquaticAnimals,AquaticSurface,PartiallyMigratory,NonCooperative,Cavity,none,Sea,No,0,0.4949232,4.558078578
Thalassarche chrysostoma,Thalassarche chrysostoma,0,Procellariiformes,EN,No,Volant,3499,64.9,Marine,Carnivore,Aquatic predator,-50.96,116,81.2,21,34.2,81.4,518,341,185.5,189.2,Diomedeidae,EN,1,18.18038111,8.160241066,AquaticAnimals,AquaticSurface,PartiallyMigratory,NonCooperative,ExposedGround,none,Sea,No,0,0.472870805,4.213607983
Halobaena caerulea,Halobaena caerulea,0,Procellariiformes,LC,No,Volant,202,62,Marine,Carnivore,Aquatic predator,-51.02,29.9,22.1,7,7,31.6,206.2,128,78.2,77,Procellariidae,LC,0,18.14221373,5.308267697,AquaticAnimals,ForagingGeneralist,PartiallyMigratory,NonCooperative,Cavity,none,Sea,No,0,0.472870805,3.819907717
Fregetta grallaria,Fregetta grallaria,0,Procellariiformes,LC,No,Volant,50.6,58.2,Marine,Carnivore,Aquatic predator,-26.74,19.3,8.7,3.3,4.7,36.9,168.6,98.4,70.6,76.8,Oceanitidae,LC,0,18.1421956,3.923556241,AquaticAnimals,AerialScreaning,Migratory,NonCooperative,Cavity,none,Sea,No,0,0.53182959,4.705015521
Pterodroma lessonii,Pterodroma lessonii,0,Procellariiformes,LC,No,Volant,698,65.6,Marine,Carnivore,Aquatic predator,-51.39,38.9,28.6,10.2,13.5,42.5,303.6,197.2,103.5,123.2,Procellariidae,LC,0,18.13256488,6.548219103,AquaticAnimals,AerialScreaning,PartiallyMigratory,NonCooperative,Cavity,none,Sea,No,0,0.472870805,3.956996371
Procellaria cinerea,Procellaria cinerea,0,Procellariiformes,NT,No,Volant,1131,60.5,Marine,Carnivore,Aquatic predator,-48.4,49.7,33.1,9.7,13.4,56.7,325.8,195.5,128,99.8,Procellariidae,NT,0,18.12441625,7.030857476,AquaticAnimals,AquaticSurface,PartiallyMigratory,NonCooperative,Cavity,none,Sea,No,0,0.4949232,4.185098925
Pelagodroma marina,Pelagodroma marina,0,Procellariiformes,LC,No,Volant,47.2,54.1,Marine,Carnivore,Aquatic predator,-15.19,21.1,10.2,3.5,4,40.6,158.2,86.2,73.1,73.4,Oceanitidae,LC,0,18.05621903,3.854393893,AquaticAnimals,AerialScreaning,Migratory,NonCooperative,Cavity,none,Sea,No,0,0.4949232,5.043425117
Calonectris diomedea,Calonectris diomedea,0,Procellariiformes,LC,No,Volant,535,64.1,Marine,Carnivore,Aquatic predator,6.57,52.4,40.5,10.7,14,51.5,344.2,220.8,123.5,114.2,Procellariidae,LC,0,18.05035178,6.282248055,AquaticAnimals,AquaticSurface,Migratory,NonCooperative,Cavity,none,Sea,No,0,0.600462428,6.094021135
Pterodroma cervicalis,Pterodroma cervicalis,0,Procellariiformes,VU,No,Volant,445,63.5,Marine,Carnivore,Aquatic predator,7.94,35.8,26.4,9.6,11.1,36.1,292,185.4,106.6,130.9,Procellariidae,VU,1,18.02250013,6.09805181,AquaticAnimals,AerialScreaning,PartiallyMigratory,NonCooperative,Cavity,none,Sea,No,0,0.472870805,4.793308128
Phoebetria palpebrata,Phoebetria palpebrata,0,Procellariiformes,NT,No,Volant,3150,69,Marine,Carnivore,Aquatic predator,-56.4,105.6,69.8,18.2,28.2,76.8,523.8,361.2,162.5,281.2,Diomedeidae,NT,0,17.98440838,8.055157732,AquaticAnimals,AquaticSurface,PartiallyMigratory,NonCooperative,ExposedGround,none,Sea,No,0,0.472870805,3.246490992
Tyto alba,Tyto alba,0,Strigiformes,LC,No,Volant,403.3,39.7,Human Modified,Carnivore,Vertivore,3.24,32,17.7,8.5,13.1,59.6,280.2,111.5,168.7,118.3,Tytonidae,LC,0,17.94777398,5.999730292,Vertebrates,AerialSallying,Sedentary,NonCooperative,Cavity,weak,Terrestrial,No,1.386294361,1.245960461,4.100989105
Pterodroma macroptera,Pterodroma macroptera,0,Procellariiformes,LC,No,Volant,531.8,66.3,Marine,Carnivore,Aquatic predator,-44.68,36.7,26.6,9.8,12.4,40.9,303.4,201,102,112.6,Procellariidae,LC,0,17.91424353,6.27622987,AquaticAnimals,AerialScreaning,PartiallyMigratory,NonCooperative,Cavity,none,Sea,No,0,0.472870805,4.813809051
Aphrodroma brevirostris,Aphrodroma brevirostris,0,Procellariiformes,LC,No,Volant,357,61.5,Marine,Carnivore,Aquatic predator,-51.31,28.4,21.7,6.1,9.6,36.5,240.2,147.8,92.5,98,Procellariidae,LC,0,17.91155669,5.877735782,AquaticAnimals,AquaticSurface,PartiallyMigratory,NonCooperative,Cavity,none,Sea,No,0,0.472870805,4.298645026
Milvus migrans,Milvus migrans,0,Accipitriformes,LC,No,Volant,734.1,48.1,Woodland,Omnivore,Omnivore,26.77,40,22.4,13,17.4,51.4,457.4,219.9,237.5,269.5,Accipitridae,LC,0,17.89590689,6.598645259,Ca,ForagingGeneralist,Migratory,NonCooperative,ExposedElevated,none,Terrestrial,No,0.916290732,1.158292185,4.264087337
Thalassoica antarctica,Thalassoica antarctica,0,Procellariiformes,LC,No,Volant,708.4,56.7,Marine,Carnivore,Aquatic predator,-59.21,44.8,26.1,8.3,10.8,43.5,296.2,170,128.2,111.2,Procellariidae,LC,0,17.88585614,6.563051254,AquaticAnimals,AquaticSurface,PartiallyMigratory,NonCooperative,ExposedElevated,none,Sea,No,0,0.472870805,1.16315081
