avonet_species_name,species,name_change,Order,status,IslandEndemic,Volancy,Mass,HWI,Habitat.x,Trophic.Level,Trophic.Niche,LAT,Beak.Length.culmen,Beak.Length.nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Tail.Length,Family,RedlistCategory,Threat,LogRangeSize,LogBodyMass,Diet,Foraging,Migration,MatingSystem,NestPlacement,Territoriality,Habitat.y,IslandDwelling,LogClutchSize,LogNightLights,LogHumanPopulationDensity
Ducula aenea,Ducula aenea,0,Columbiformes,NT,No,Volant,545,31.1,Forest,Herbivore,Frugivore,12.16,30.4,16.3,8.1,6.9,30.2,240,74.6,165.4,143.2,Columbidae,LC,0,15.4517358,6.300785795,Fruit,ArborealGleaning,Sedentary,NonCooperative,ExposedElevated,none,Terrestrial,No,0.405465108,1.285407003,5.161924742
Onychoprion anaethetus,Onychoprion anaethetus,0,Charadriiformes,LC,No,Volant,119.4,67.2,Marine,Carnivore,Aquatic predator,-1.01,45.5,28.4,5.4,7.9,20.6,273.6,182,89,182.8,Laridae,LC,0,15.45150582,4.782646691,AquaticAnimals,AquaticPlunge,PartiallyMigratory,NonCooperative,ExposedGround,none,Sea,No,0,0.936747799,4.860587298
Myiarchus crinitus,Myiarchus crinitus,0,Passeriformes,LC,No,Volant,32.1,21.4,Woodland,Omnivore,Invertivore,40.77,22.7,15.5,8.5,6.9,21.8,98.8,21.6,79.4,88.1,Tyrannidae,LC,0,15.45150323,3.46885603,Invertebrates,AerialSallying,Migratory,NonCooperative,Cavity,strong,Terrestrial,No,1.791759469,1.615424919,3.858622229
Elaenia cristata,Elaenia cristata,0,Passeriformes,LC,No,Volant,18.2,15.1,Shrubland,Carnivore,Invertivore,-5.98,13.1,7.6,4.8,3.5,19.1,66.2,10,56.2,56.5,Tyrannidae,LC,0,15.45016988,2.901421594,Invertebrates,AerialSallying,Sedentary,NonCooperative,ExposedElevated,weak,Terrestrial,No,0.693147181,1.017058525,2.708050201
Haliaeetus leucogaster,Haliaeetus leucogaster,0,Accipitriformes,LC,No,Volant,2827,41.3,Coastal,Carnivore,Aquatic predator,-9.12,71.3,39.2,18.5,24.9,86,556.7,231.8,330.2,253.3,Accipitridae,LC,0,15.45015679,7.946974895,AquaticAnimals,AerialScreaning,Sedentary,NonCooperative,ExposedElevated,strong,Coastal,No,0.693147181,1.180185929,4.855928904
Deconychura longicauda,Deconychura longicauda,0,Passeriformes,LC,No,Volant,23.8,21,Forest,Carnivore,Invertivore,1.73,27.6,17.4,5.6,5.5,22.9,101.6,21.1,79.4,98.2,Furnariidae,LC,0,15.44942209,3.169685581,Invertebrates,BarkGleaning,Sedentary,NonCooperative,Cavity,strong,Terrestrial,No,0.693147181,0.752120619,1.589235205
Melanitta fusca,Melanitta fusca,0,Anseriformes,VU,No,Volant,1800.2,49.9,Wetland,Carnivore,Aquatic predator,62.27,49.9,28.3,26.4,14.7,42,259.2,125.8,126,74.7,Anatidae,VU,1,15.44919302,7.495636384,AquaticAnimals,AquaticDive,Migratory,NonCooperative,ExposedGround,none,Wetland,No,2.079441542,1.059479691,2.054123734
Certhionyx variegatus,Certhionyx variegatus,0,Passeriformes,LC,No,Volant,26.3,27.4,Shrubland,Herbivore,Nectarivore,-26.46,20.1,11,3.3,3.4,20.9,84.8,22.5,59.8,63.1,Meliphagidae,LC,0,15.44907284,3.268427604,Nectar,ArborealGleaning,PartiallyMigratory,NonCooperative,ExposedElevated,weak,Terrestrial,No,0.916290732,0.575901449,0.405465108
Myrmotherula longipennis,Myrmotherula longipennis,0,Passeriformes,LC,No,Volant,9.4,18.2,Forest,Carnivore,Invertivore,-2.48,15.3,9.4,3.6,3.4,15.6,56.6,10.3,46.3,32,Thamnophilidae,LC,0,15.4480212,2.240709689,Invertebrates,ArborealGleaning,Sedentary,NonCooperative,ExposedElevated,strong,Terrestrial,No,0.693147181,0.727427153,1.526056303
Amazilia versicolor,Amazilia versicolor,0,Caprimulgiformes,LC,No,Volant,4.1,63.4,Forest,Herbivore,Nectarivore,-10.93,19.1,13.5,1.8,2,4.3,48.2,30.5,17.7,29,Trochilidae,LC,0,15.44740942,1.410986974,Nectar,AerialScreaning,Sedentary,NonCooperative,ExposedElevated,none,Terrestrial,No,0.693147181,1.135081439,3.303216973
Myrmoborus leucophrys,Myrmoborus leucophrys,0,Passeriformes,LC,No,Volant,21.5,13.6,Forest,Carnivore,Invertivore,-3.46,18,10.8,4.5,4.7,25.2,64.9,8.7,56.4,43.8,Thamnophilidae,LC,0,15.44730159,3.068052935,Invertebrates,AerialSallying,Sedentary,NonCooperative,ExposedGround,strong,Terrestrial,No,0.693147181,0.795270729,1.458615023
Aythya americana,Aythya americana,0,Anseriformes,LC,No,Volant,1075.7,46,Wetland,Herbivore,Herbivore aquatic,48.31,49.7,33,18.8,14.6,35.7,218.6,104.6,122.4,56,Anatidae,LC,0,15.44711589,6.980717595,AquaticPlants,AquaticSurface,Migratory,NonCooperative,ExposedGround,weak,Wetland,No,2.197224577,1.273470641,3.0301337
Erythrogonys cinctus,Erythrogonys cinctus,0,Charadriiformes,LC,No,Volant,51.4,42.2,Wetland,Carnivore,Aquatic predator,-25.94,24.1,16.4,3.4,4.3,39,110.2,46.5,63.8,46.5,Charadriidae,LC,0,15.44683978,3.939638172,AquaticAnimals,GroundForaging,PartiallyMigratory,NonCooperative,ExposedGround,weak,Wetland,No,1.098612289,0.779920671,1.609437912
Serpophaga subcristata,Serpophaga subcristata,0,Passeriformes,LC,No,Volant,6.6,14.5,Forest,Carnivore,Invertivore,-24.58,10.4,5.9,3.1,2.9,16.4,48.1,7,41.2,47.4,Tyrannidae,LC,0,15.44674395,1.887069649,Invertebrates,AerialSallying,Migratory,NonCooperative,ExposedElevated,weak,Terrestrial,No,0.916290732,1.180185929,3.446807893
Euplectes hordeaceus,Euplectes hordeaceus,0,Passeriformes,LC,No,Volant,19.4,13.3,Grassland,Herbivore,Granivore,0.85,16.7,11.2,7,8.9,21.3,73,9.7,63.2,44.2,Ploceidae,LC,0,15.44552335,2.963725477,Seeds,GroundForaging,Sedentary,NonCooperative,Cavity,weak,Terrestrial,No,1.088140989,1.040031433,3.985273467
Pachyramphus viridis,Pachyramphus viridis,0,Passeriformes,LC,No,Volant,21,19.6,Forest,Carnivore,Invertivore,-18.23,14.5,9.9,6.5,5.5,17.6,71.4,13.9,57.3,55.9,Tityridae,LC,0,15.44447424,3.044522438,Invertebrates,AerialSallying,PartiallyMigratory,NonCooperative,Cavity,weak,Terrestrial,No,1.098612289,1.190690845,3.517497837
Gallus gallus,Gallus gallus,0,Galliformes,LC,No,Volant,751.7,22.5,Forest,Herbivore,Omnivore,16.29,30.9,15.4,8.9,8.9,68.1,218.2,48.9,167.6,194,Phasianidae,LC,0,15.44396783,6.622363914,Generalist,GroundForaging,Sedentary,NonCooperative,ExposedGround,weak,Terrestrial,No,1.871802177,1.269823432,5.426710581
Turdoides plebejus,Turdoides plebejus,0,Passeriformes,LC,No,Volant,62.5,10.4,Woodland,Omnivore,Invertivore,9.34,23.7,12.9,4.7,6.6,33.1,105.9,11,94.5,101.8,Leiotrichidae,LC,0,15.44361005,4.135166557,Invertebrates,GroundForaging,Sedentary,Cooperative,ExposedElevated,strong,Terrestrial,No,1.098612289,1.033299485,3.869115504
Pelargopsis capensis,Pelargopsis capensis,0,Coraciiformes,LC,No,Volant,178.7,20.1,Riverine,Carnivore,Aquatic predator,13.61,84.9,68.2,17.2,21.7,15.8,146.7,29.6,117.7,94.2,Alcedinidae,LC,0,15.44315184,5.185596496,AquaticAnimals,AerialSallying,PartiallyMigratory,NonCooperative,Cavity,strong,Terrestrial,No,1.252762968,1.273470641,5.458308103
Catharus minimus,Catharus minimus,0,Passeriformes,LC,No,Volant,31.6,30.8,Forest,Carnivore,Invertivore,62.09,16.4,9.2,4.5,4,30,100.8,30.7,68.9,69.2,Turdidae,LC,0,15.44258847,3.452524009,Invertebrates,GroundForaging,Migratory,NonCooperative,ExposedElevated,weak,Terrestrial,No,1.252762968,0.622332977,0.182321557
Mirafra africana,Mirafra africana,0,Passeriformes,LC,No,Volant,45,18.2,Grassland,Omnivore,Invertivore,-13.63,22,13.1,4.7,6.1,28.5,98,17.8,79.9,64.6,Alaudidae,LC,0,15.43955748,3.807328934,Invertebrates,GroundForaging,PartiallyMigratory,NonCooperative,Cavity,weak,Terrestrial,No,1.098612289,0.99749057,3.61361697
Pteroglossus castanotis,Pteroglossus castanotis,0,Piciformes,LC,No,Volant,258.1,16.4,Forest,Herbivore,Frugivore,-10.99,115.9,104.9,26.9,33.7,35,154.4,25.3,129,144.4,Ramphastidae,LC,0,15.43913078,5.553308361,Fruit,ArborealGleaning,Sedentary,NonCooperative,Cavity,strong,Terrestrial,No,0.693147181,0.924337803,2.079441542
Tyrannus verticalis,Tyrannus verticalis,0,Passeriformes,LC,No,Volant,39.6,33.2,Shrubland,Carnivore,Invertivore,40.94,21.8,13.5,7.5,6.4,18.3,126.1,41.9,84.3,89.9,Tyrannidae,LC,0,15.43838316,3.678829118,Invertebrates,AerialSallying,Migratory,NonCooperative,ExposedElevated,weak,Terrestrial,No,1.252762968,1.196570978,2.587764035
Phoenicopterus roseus,Phoenicopterus roseus,0,Phoenicopteriformes,LC,No,Volant,3031.6,41.6,Wetland,Carnivore,Aquatic predator,-8.68,124.7,86.4,26,38.1,294.5,399,163.9,230.3,138.4,Phoenicopteridae,LC,0,15.43784227,8.016842513,AquaticAnimals,GroundForaging,PartiallyMigratory,NonCooperative,ExposedGround,none,Wetland,No,0,1.079902949,3.877431561
Tetrax tetrax,Tetrax tetrax,0,Otidiformes,NT,No,Volant,833.5,40.8,Grassland,Omnivore,Omnivore,48.84,30,14.4,7.8,8.6,63.7,239.3,98,142.1,100.3,Otididae,NT,0,15.43764388,6.725573712,Generalist,GroundForaging,PartiallyMigratory,NonCooperative,ExposedGround,none,Terrestrial,No,1.386294361,1.193641774,3.407841924
Hirundinea ferruginea,Hirundinea ferruginea,0,Passeriformes,LC,No,Volant,30.6,31.9,Rock,Carnivore,Invertivore,1.42,20.9,13.5,8.2,5,14,108.6,34.6,73.6,75.2,Tyrannidae,LC,0,15.43606438,3.421000009,Invertebrates,AerialSallying,PartiallyMigratory,NonCooperative,ExposedElevated,weak,Terrestrial,No,0.693147181,1.172507019,3.481240089
Aythya affinis,Aythya affinis,0,Anseriformes,LC,No,Volant,819.5,51,Wetland,Omnivore,Aquatic predator,56.73,47.3,29.4,19.6,13.4,34.9,198.2,101,97,53.4,Anatidae,LC,0,15.43547475,6.708633384,AquaticAnimals,AquaticDive,Migratory,NonCooperative,ExposedGround,none,Wetland,No,2.302585093,0.930604859,1.064710737
Emberizoides herbicola,Emberizoides herbicola,0,Passeriformes,LC,No,Volant,27.6,10.8,Grassland,Omnivore,Granivore,-14.41,14.9,8.3,4.8,6.5,23.6,70.1,7.4,60.9,97,Thraupidae,LC,0,15.43521226,3.316002536,Seeds,GroundForaging,Sedentary,NonCooperative,ExposedGround,weak,Terrestrial,No,0.693147181,1.187717811,3.446807893
Ciconia maguari,Ciconia maguari,0,Ciconiiformes,LC,No,Volant,3995,43.1,Grassland,Carnivore,Aquatic predator,-18.01,248.5,182.3,26.6,35.4,258.2,576.5,248.2,328.2,254.5,Ciconiidae,LC,0,15.43338657,8.292796355,AquaticAnimals,GroundForaging,PartiallyMigratory,NonCooperative,ExposedElevated,none,Terrestrial,No,1.098612289,1.067789972,2.785011242
Turdus rufiventris,Turdus rufiventris,0,Passeriformes,LC,No,Volant,69.4,17.4,Forest,Omnivore,Invertivore,-19.83,25.2,14.6,5.3,6.7,33.4,115.5,20.1,95,101.5,Turdidae,LC,0,15.43066759,4.24046307,Invertebrates,GroundForaging,PartiallyMigratory,NonCooperative,ExposedElevated,weak,Terrestrial,No,0.916290732,1.216496962,3.666122467
Tachycineta leucorrhoa,Tachycineta leucorrhoa,0,Passeriformes,LC,No,Volant,15.3,50.5,Grassland,Carnivore,Invertivore,-23.17,12,6.8,5.1,3.2,11.5,112.3,57.8,56.7,49.9,Hirundinidae,LC,0,15.42978113,2.727852828,Invertebrates,AerialScreaning,Migratory,NonCooperative,Cavity,none,Terrestrial,No,1.704748092,1.172507019,3.342861805
Lophostrix cristata,Lophostrix cristata,0,Strigiformes,LC,No,Volant,538.7,18.1,Forest,Carnivore,Invertivore,-3.43,34.3,17.9,10.1,16.2,46,309.6,56.6,255.4,183.2,Strigidae,LC,0,15.42977455,6.289084574,Invertebrates,AerialSallying,Sedentary,NonCooperative,Cavity,strong,Terrestrial,No,1.143507609,0.849182109,2.360854001
Megaceryle lugubris,Megaceryle lugubris,0,Coraciiformes,LC,No,Volant,271,29.9,Riverine,Carnivore,Aquatic predator,29.15,76.6,55.5,11.9,18.2,16.4,182.4,54.2,127.2,103,Alcedinidae,LC,0,15.42968935,5.60208192,AquaticAnimals,AerialSallying,Sedentary,NonCooperative,Cavity,weak,Terrestrial,No,1.504077397,1.470826559,5.621125241
Chiroxiphia pareola,Chiroxiphia pareola,0,Passeriformes,LC,No,Volant,16.8,12.2,Forest,Omnivore,Frugivore,-4.86,11.4,6.5,4.4,4.9,17.8,69.4,8.2,59.1,34.4,Pipridae,LC,0,15.42803337,2.823757009,Fruit,AerialSallying,Sedentary,NonCooperative,ExposedElevated,none,Terrestrial,No,0.693147181,0.890912674,2.312535424
Passer hispaniolensis,Passer hispaniolensis,0,Passeriformes,LC,No,Volant,24.2,26,Shrubland,Herbivore,Granivore,38.13,15.4,10.5,7.3,8.4,19.9,76.3,19.9,56.4,54.7,Passeridae,LC,0,15.42755523,3.186352633,Seeds,GroundForaging,Sedentary,NonCooperative,Cavity,none,Terrestrial,No,1.609437912,1.290089802,4.082609306
Emberiza spodocephala,Emberiza spodocephala,0,Passeriformes,LC,No,Volant,18.5,19.4,Shrubland,Carnivore,Invertivore,52.61,12.5,7.7,4,5.5,20.1,69.6,13.4,55.7,61.8,Emberizidae,LC,0,15.42639115,2.91506437,Invertebrates,GroundForaging,Migratory,NonCooperative,ExposedElevated,weak,Terrestrial,No,1.504077397,0.904729394,3.377587516
Penelope jacquacu,Penelope jacquacu,0,Galliformes,LC,No,Volant,1487.9,10.3,Forest,Herbivore,Frugivore,-4.44,38.4,14.8,8.8,10.4,79.7,296.4,30.3,268.4,322.4,Cracidae,LC,0,15.42637853,7.305121009,Fruit,ArborealGleaning,Sedentary,NonCooperative,ExposedElevated,weak,Terrestrial,No,0.693147181,0.774596669,1.386294361
Quiscalus mexicanus,Quiscalus mexicanus,0,Passeriformes,LC,No,Volant,160.5,26.8,Human Modified,Omnivore,Omnivore,29.28,43.3,29.2,8.2,11.5,47.9,168.6,46,126.4,170.1,Icteridae,LC,0,15.42596695,5.078107009,Generalist,GroundForaging,Sedentary,NonCooperative,ExposedElevated,none,Terrestrial,No,1.252762968,1.326906811,3.751854253
Ibidorhyncha struthersii,Ibidorhyncha struthersii,0,Charadriiformes,LC,No,Volant,294,43.5,Riverine,Carnivore,Aquatic predator,35.52,79.3,63.8,5.3,6.4,46.4,231.2,100.8,131.2,112.4,Ibidorhynchidae,LC,0,15.4223905,5.683579767,AquaticAnimals,GroundForaging,PartiallyMigratory,NonCooperative,ExposedGround,weak,Terrestrial,No,1.386294361,1.028737345,4.216562195
Nyctibius aethereus,Nyctibius aethereus,0,Caprimulgiformes,LC,No,Volant,440.5,38,Forest,Carnivore,Invertivore,-6.53,32.5,11.8,7.4,5.6,10.6,331.8,129.7,211.3,301.2,Nyctibiidae,LC,0,15.41994751,6.087796932,Invertebrates,AerialSallying,Sedentary,NonCooperative,ExposedElevated,strong,Terrestrial,No,0,1,2.954910279
Calidris minutilla,Calidris minutilla,0,Charadriiformes,LC,No,Volant,22.9,37.7,Wetland,Carnivore,Aquatic predator,62.1,20.3,15.1,2.4,3.2,18.4,86.4,32.1,53.1,39.2,Scolopacidae,LC,0,15.41969562,3.130263167,AquaticAnimals,GroundForaging,Migratory,NonCooperative,ExposedGround,weak,Wetland,No,1.386294361,0.642114135,0.262364264
Campephaga flava,Campephaga flava,0,Passeriformes,LC,No,Volant,32.3,22.5,Shrubland,Carnivore,Invertivore,-11.41,19,9.8,6.1,5.4,19.7,98.8,22.2,76.4,85.4,Campephagidae,LC,0,15.41890054,3.47506723,Invertebrates,ArborealGleaning,Sedentary,NonCooperative,ExposedElevated,weak,Terrestrial,No,0.693147181,1.037801986,3.624340933
Carpodacus roseus,Carpodacus roseus,0,Passeriformes,LC,No,Volant,28.6,29.4,Forest,Herbivore,Granivore,58.85,12.5,8.9,7,8.4,18.9,88,25.4,61.3,67.1,Fringillidae,LC,0,15.41852682,3.353406718,Seeds,ArborealGleaning,Migratory,NonCooperative,ExposedElevated,weak,Terrestrial,No,1.351776856,0.699927102,1.029619417
Hemipus picatus,Hemipus picatus,0,Passeriformes,LC,No,Volant,9,15.3,Shrubland,Carnivore,Invertivore,16.08,12.2,8.4,4.3,3.7,11.2,60.7,9.4,52,55.5,Vangidae,LC,0,15.41682238,2.194999882,Invertebrates,AerialSallying,Sedentary,NonCooperative,ExposedElevated,strong,Terrestrial,No,0.916290732,1.254910983,5.117394831
Oreoica gutturalis,Oreoica gutturalis,0,Passeriformes,LC,No,Volant,62.8,24.2,Shrubland,Carnivore,Invertivore,-27,20.3,11.4,5.9,7.8,27.2,101.2,24.3,76.2,78.3,Oreoicidae,LC,0,15.41653895,4.139955073,Invertebrates,GroundForaging,Sedentary,NonCooperative,ExposedElevated,strong,Terrestrial,No,0.916290732,0.600462428,0.470003629
Caprimulgus affinis,Caprimulgus affinis,0,Caprimulgiformes,LC,No,Volant,58.7,45.3,Grassland,Carnivore,Invertivore,17.18,20.6,7.3,5.3,3,17.8,159.6,70.6,85.2,94.4,Caprimulgidae,LC,0,15.41612544,4.072439727,Invertebrates,AerialScreaning,PartiallyMigratory,NonCooperative,ExposedGround,weak,Terrestrial,No,0.405465108,1.327975606,5.694405313
Prinia flaviventris,Prinia flaviventris,0,Passeriformes,LC,No,Volant,7,11.9,Shrubland,Carnivore,Invertivore,13.87,14,9.5,2.9,2.6,20.9,45.4,5.3,39.6,62.6,Cisticolidae,LC,0,15.41483734,1.945910149,Invertebrates,ArborealGleaning,Sedentary,NonCooperative,Cavity,weak,Terrestrial,No,1.252762968,1.30496691,5.280662431
Coccyzus erythropthalmus,Coccyzus erythropthalmus,0,Cuculiformes,LC,No,Volant,50.9,40.8,Forest,Carnivore,Invertivore,43.59,27,17,5.7,6.6,22.9,136.9,55.3,80.3,143.4,Cuculidae,LC,0,15.41383009,3.929862924,Invertebrates,ArborealGleaning,Migratory,NonCooperative,ExposedElevated,weak,Terrestrial,No,1.252762968,1.544464985,3.678829118
Charadrius semipalmatus,Charadrius semipalmatus,0,Charadriiformes,LC,No,Volant,46.7,56,Wetland,Carnivore,Aquatic predator,64.38,14.5,8.5,3.2,3.7,22.9,118.4,65,51,51.8,Charadriidae,LC,0,15.41251694,3.844600329,AquaticAnimals,GroundForaging,Migratory,NonCooperative,ExposedGround,weak,Wetland,No,1.252762968,0.651355562,0.336472237
Archilochus colubris,Archilochus colubris,0,Caprimulgiformes,LC,No,Volant,3.1,65,Woodland,Omnivore,Nectarivore,41.87,20.7,15.1,1.8,1.9,3.4,40.7,27.6,14.7,24.3,Trochilidae,LC,0,15.41226591,1.128171091,Nectar,AerialScreaning,Migratory,NonCooperative,ExposedElevated,none,Terrestrial,No,0.693147181,1.624830993,3.867025639
Philydor pyrrhodes,Philydor pyrrhodes,0,Passeriformes,LC,No,Volant,30.5,18.1,Forest,Carnivore,Invertivore,-3.15,19.9,11.9,4.3,5.7,20.5,82.6,15,67.7,62.4,Furnariidae,LC,0,15.41108893,3.417726684,Invertebrates,ArborealGleaning,Sedentary,NonCooperative,Cavity,strong,Terrestrial,No,0.963679354,0.727427153,1.481604541
Anthus roseatus,Anthus roseatus,0,Passeriformes,LC,No,Volant,20.6,18.1,Grassland,Carnivore,Invertivore,33.88,13.7,8,3,3.1,21.5,82.8,15,67.3,60.6,Motacillidae,LC,0,15.41096384,3.025776395,Invertebrates,GroundForaging,Sedentary,NonCooperative,ExposedGround,weak,Terrestrial,No,1.252762968,0.984650177,4.182050143
Psarocolius viridis,Psarocolius viridis,0,Passeriformes,LC,No,Volant,287,23.4,Forest,Omnivore,Invertivore,-1.31,57.4,35.7,10.2,15.1,50.3,219.7,51.7,167.1,152.8,Icteridae,LC,0,15.41093447,5.659307985,Invertebrates,ArborealGleaning,Sedentary,NonCooperative,Cavity,none,Terrestrial,No,1.170304217,0.752120619,1.547562509
Chaetura meridionalis,Chaetura meridionalis,0,Caprimulgiformes,LC,No,Volant,22.2,63.8,Forest,Carnivore,Invertivore,-19.32,8.9,2.9,2.7,2.2,12.7,131.7,83.7,47.9,38.7,Apodidae,LC,0,15.41027459,3.100092289,Invertebrates,AerialScreaning,Migratory,Cooperative,Cavity,none,Terrestrial,No,1.252762968,1.172507019,3.363841595
Paroaria gularis,Paroaria gularis,0,Passeriformes,LC,No,Volant,23.6,15.3,Shrubland,Herbivore,Omnivore,-5.7,16.6,10.4,4.7,6,22.3,83.6,12.9,70.9,69,Thraupidae,LC,0,15.41021981,3.161246712,Generalist,GroundForaging,Sedentary,NonCooperative,ExposedElevated,weak,Terrestrial,No,0.914402157,0.887356066,1.871802177
Euphonia violacea,Euphonia violacea,0,Passeriformes,LC,No,Volant,15,27.6,Forest,Herbivore,Frugivore,-8.34,10,6.6,4.8,5.2,13.9,57.9,16.2,42.2,33.2,Fringillidae,LC,0,15.40921048,2.708050201,Fruit,ArborealGleaning,Sedentary,NonCooperative,Cavity,weak,Terrestrial,No,1.386294361,1.158292185,3.417726684
Cygnus olor,Cygnus olor,0,Anseriformes,LC,No,Volant,10682,42.1,Wetland,Herbivore,Herbivore aquatic,49.96,96.1,56.7,31,26.4,96.1,581.5,244.9,336.6,198.1,Anatidae,LC,0,15.40782772,9.276319106,AquaticPlants,AquaticSurface,Migratory,NonCooperative,ExposedGround,weak,Wetland,No,1.791759469,1.479394086,4.368181228
Cinclus mexicanus,Cinclus mexicanus,0,Passeriformes,LC,No,Volant,56.7,26.5,Riverine,Carnivore,Aquatic predator,52.35,21.6,11.7,3.4,4.8,29.8,89.1,23.6,65.3,51.8,Cinclidae,LC,0,15.40679501,4.037421415,AquaticAnimals,GroundForaging,Sedentary,NonCooperative,Cavity,weak,Terrestrial,No,1.252762968,1,2.549445171
Aythya collaris,Aythya collaris,0,Anseriformes,LC,No,Volant,704.6,48.2,Wetland,Omnivore,Herbivore aquatic,52.28,51.4,29.9,18.9,13.6,33.2,194.8,92.6,99.4,57.6,Anatidae,LC,0,15.40471148,6.557559301,AquaticPlants,AquaticDive,Migratory,NonCooperative,ExposedGround,weak,Wetland,No,2.197224577,1.119373221,2.091864062
Sclerurus rufigularis,Sclerurus rufigularis,0,Passeriformes,LC,No,Volant,21.6,14.6,Forest,Carnivore,Invertivore,-2.44,19.7,13.2,3.4,3.9,21.1,78.3,11.4,67.2,61.2,Furnariidae,LC,0,15.40434527,3.072693315,Invertebrates,GroundForaging,Sedentary,NonCooperative,Cavity,strong,Terrestrial,No,0.963679354,0.720843424,1.481604541
Myiobius atricaudus,Myiobius atricaudus,0,Passeriformes,LC,No,Volant,10,13,Forest,Carnivore,Invertivore,-6.64,12.7,7,4.3,3.2,15.8,59.6,7.8,51.8,59.4,Tityridae,LC,0,15.40413284,2.302585093,Invertebrates,AerialSallying,Sedentary,NonCooperative,Cavity,weak,Terrestrial,No,0.693147181,1.089694548,3.374168709
Cyanopica cyanus,Cyanopica cyanus,0,Passeriformes,LC,No,Volant,95.9,14.3,Woodland,Omnivore,Omnivore,42.1,29.1,17.4,8.6,8.6,35.6,141.3,20.2,120.4,212,Corvidae,LC,0,15.40402032,4.563410252,Invertebrates,GroundForaging,Sedentary,Cooperative,ExposedElevated,weak,Terrestrial,No,1.791759469,1.359898599,5.138148614
Dendrocygna arcuata,Dendrocygna arcuata,0,Anseriformes,LC,No,Volant,796.2,30.9,Wetland,Herbivore,Herbivore aquatic,-14.18,42,29.2,15.4,14.1,45.4,186,58.2,130.1,49.8,Anatidae,LC,0,15.4029323,6.679825291,AquaticPlants,AquaticDive,PartiallyMigratory,NonCooperative,ExposedGround,none,Wetland,No,2.351375257,0.939774487,4.044804117
Bucorvus leadbeateri,Bucorvus leadbeateri,0,Bucerotiformes,VU,No,Volant,3743.6,20.8,Grassland,Carnivore,Omnivore,-14.21,204,156.2,30.5,51.8,141,534.5,111.5,423,319.5,Bucerotidae,VU,1,15.39813297,8.227808337,Invertebrates,GroundForaging,Sedentary,Cooperative,Cavity,strong,Terrestrial,No,0.693147181,0.984650177,3.346389145
Aechmophorus occidentalis,Aechmophorus occidentalis,0,Podicipediformes,LC,No,Volant,1137,40.8,Wetland,Carnivore,Aquatic predator,44.29,73.2,54.1,6.6,10.2,71.7,184.5,75.4,109,29.8,Podicipedidae,LC,0,15.39788526,7.036104517,AquaticAnimals,AquaticDive,Migratory,NonCooperative,ExposedGround,weak,Wetland,No,1.252762968,1.245960461,3.020424886
Buteo platypterus,Buteo platypterus,0,Accipitriformes,LC,No,Volant,453.7,36.9,Forest,Carnivore,Vertivore,42.9,28.3,17.8,11.1,14.4,53.4,277.7,103.7,177.4,178.8,Accipitridae,LC,0,15.39738169,6.117325976,Vertebrates,AerialSallying,Migratory,NonCooperative,ExposedElevated,strong,Terrestrial,No,0.916290732,1.591162399,3.824284091
Bucephala albeola,Bucephala albeola,0,Anseriformes,LC,No,Volant,397.5,47.4,Wetland,Carnivore,Aquatic predator,56.77,28.8,18.9,12.9,9.9,30.1,160.8,75,83.5,65.4,Anatidae,LC,0,15.39637277,5.9850943,AquaticAnimals,AquaticDive,Migratory,NonCooperative,Cavity,none,Wetland,No,2.140066163,0.857232129,0.832909123
Crypturellus tataupa,Crypturellus tataupa,0,Struthioniformes,LC,No,Volant,218.8,21.1,Woodland,Herbivore,Omnivore,-18.31,24.9,13.1,4.8,5.3,32.5,123.3,25.8,97.6,49.4,Tinamidae,LC,0,15.39574563,5.388158071,Generalist,GroundForaging,Sedentary,NonCooperative,ExposedGround,strong,Terrestrial,No,1.504077397,1.190690845,3.549617387
Pteroglossus inscriptus,Pteroglossus inscriptus,0,Piciformes,LC,No,Volant,125.8,16.4,Forest,Herbivore,Frugivore,-8.64,79.8,61.5,19.8,25.7,28.4,117.1,19.6,98.8,125.2,Ramphastidae,LC,0,15.39560312,4.834852314,Fruit,ArborealGleaning,Sedentary,Cooperative,Cavity,strong,Terrestrial,No,1.035242675,0.868897833,1.931521412
Cistothorus palustris,Cistothorus palustris,0,Passeriformes,LC,No,Volant,10.8,20,Wetland,Carnivore,Invertivore,44.47,16,9.9,2.7,3.4,19.2,48.4,9.7,38.7,39.5,Troglodytidae,LC,0,15.39554471,2.379546134,Invertebrates,ArborealGleaning,PartiallyMigratory,NonCooperative,Cavity,weak,Wetland,No,1.609437912,1.474739407,3.660994251
Xiphocolaptes promeropirhynchus,Xiphocolaptes promeropirhynchus,0,Passeriformes,LC,No,Volant,93,15.4,Forest,Carnivore,Invertivore,-3.3,50.6,37.9,8.3,10.5,32.2,135.3,20.8,113.8,122.6,Furnariidae,LC,0,15.39518603,4.533029508,Invertebrates,BarkGleaning,Sedentary,NonCooperative,Cavity,strong,Terrestrial,No,0.963679354,0.933691485,2.815408719
