order,family,species,IUCN_status,origin,latitude,longitude,elevation,acclimated,life_stage_acclimated,acclimation_temp,acclimation_time,life_stage_tested,metric,endpoint,medium_test_temp,start_temp,ramping,photoperiod,mean_UTL,n_UTL
Anura,Ranidae,Rana pipiens,LC,supplier,NA,NA,NA,acclimated,adults,25,14,adults,CTmax,LRR,body,25,1,24,35.42437469,23
Anura,Bufonidae,Anaxyrus woodhousii,LC,wild,41.68209,-69.959766,12,field-fresh,NA,NA,NA,larvae,CTmax,prodding,water,22.9,1,NA,42.49749583,20
Anura,Bufonidae,Anaxyrus woodhousii,LC,wild,41.68209,-69.959766,12,field-fresh,NA,NA,NA,larvae,CTmax,prodding,water,22.9,1,NA,41.34557596,11
Anura,Bufonidae,Anaxyrus woodhousii,LC,wild,41.68209,-69.959766,12,field-fresh,NA,NA,NA,larvae,CTmax,prodding,water,22.9,1,NA,37.17195326,5
Anura,Bufonidae,Anaxyrus woodhousii,LC,wild,41.68209,-69.959766,12,field-fresh,NA,NA,NA,larvae,CTmax,prodding,water,22.9,1,NA,36.93823038,5
Anura,Bufonidae,Anaxyrus woodhousii,LC,wild,41.68209,-69.959766,12,field-fresh,NA,NA,NA,juveniles,CTmax,prodding,water,22.9,1,NA,37.639399,12
Anura,Bufonidae,Anaxyrus woodhousii,LC,wild,41.68209,-69.959766,12,field-fresh,NA,NA,NA,juveniles,CTmax,prodding,water,22.9,1,NA,39.59265442,4
Anura,Bufonidae,Anaxyrus woodhousii,LC,wild,41.68209,-69.959766,12,field-fresh,NA,NA,NA,adults,CTmax,prodding,body,22.9,1,NA,41.0951586,3
Caudata,Salamandridae,Notophthalmus viridescens,LC,wild,42.69,-73.29,521,acclimated,adults,24,8.5,adults,CTmax,OS,water,24,1,14,39.5,10
Caudata,Salamandridae,Notophthalmus viridescens,LC,wild,42.69,-73.29,521,acclimated,adults,24,8.5,adults,CTmax,OS,water,24,1,14,38.9,10
Caudata,Salamandridae,Notophthalmus viridescens,LC,wild,42.69,-73.29,521,acclimated,adults,24,8.5,adults,CTmax,LRR,water,24,1,14,36.4,8
Caudata,Salamandridae,Notophthalmus viridescens,LC,wild,42.69,-73.29,521,acclimated,adults,24,8.5,adults,CTmax,LRR,water,24,1,14,34.7,9
Anura,Bufonidae,Anaxyrus americanus,LC,wild,42.878135,-73.196774,252,acclimated,larvae,21,3,larvae,CTmax,prodding,water,21,1,12,40.30215827,6
Anura,Bufonidae,Anaxyrus americanus,LC,wild,42.878135,-73.196774,252,acclimated,larvae,21,11,larvae,CTmax,prodding,water,21,1,12,40.70503597,18
Anura,Bufonidae,Anaxyrus americanus,LC,wild,42.878135,-73.196774,252,acclimated,larvae,21,11,larvae,CTmax,prodding,water,21,1,12,39.90647482,7
Anura,Bufonidae,Anaxyrus americanus,LC,wild,42.878135,-73.196774,252,acclimated,larvae,21,11,larvae,CTmax,prodding,water,21,1,12,39.29496403,10
Anura,Bufonidae,Anaxyrus americanus,LC,wild,42.878135,-73.196774,252,acclimated,larvae,21,11,larvae,CTmax,prodding,water,21,1,12,39.79856115,7
Anura,Bufonidae,Anaxyrus americanus,LC,wild,42.878135,-73.196774,252,acclimated,juveniles,21,11,juveniles,CTmax,prodding,water,21,1,12,39.90647482,7
