Seq.,Order,Family name,Family,Common name,Scientific_name,2025 IUCN Red List category,Residential_Commercial_Development,Agriculture_Aquaculture,Energy_Production_Mining,Transportation_Service_Corridors,Biological_Resource_Use,Human_Intrusions_Disturbance,Natural_System_Modifications,Invasive_Other_Problematic_Species,Pollution,Geological_Events,Climate_Change_Severe_Weather,Other_Options
1,STRUTHIONIFORMES,Struthionidae,Ostriches,Common Ostrich,Struthio camelus,LC,0,0,0,0,0,0,0,0,0,0,0,0
2,STRUTHIONIFORMES,Struthionidae,Ostriches,Somali Ostrich,Struthio molybdophanes,VU,0,1,0,0,1,0,0,0,0,0,0,0
3,STRUTHIONIFORMES,Rheidae,Rheas,Greater Rhea,Rhea americana,NT,0,1,0,0,1,0,0,0,0,0,0,0
4,STRUTHIONIFORMES,Rheidae,Rheas,Lesser Rhea,Rhea pennata,LC,1,1,0,0,1,0,0,0,0,0,0,0
5,STRUTHIONIFORMES,Tinamidae,Tinamous,Tawny-breasted Tinamou,Nothocercus julius,LC,0,0,0,0,0,0,0,0,0,0,0,0
6,STRUTHIONIFORMES,Tinamidae,Tinamous,Highland Tinamou,Nothocercus bonapartei,LC,0,0,0,0,1,0,0,0,0,0,0,0
7,STRUTHIONIFORMES,Tinamidae,Tinamous,Hooded Tinamou,Nothocercus nigrocapillus,LC,0,1,0,0,0,0,0,0,0,0,0,0
8,STRUTHIONIFORMES,Tinamidae,Tinamous,Grey Tinamou,Tinamus tao,VU,0,1,0,0,1,0,0,0,0,0,0,0
9,STRUTHIONIFORMES,Tinamidae,Tinamous,Solitary Tinamou,Tinamus solitarius,NT,1,1,0,1,1,0,0,0,0,0,0,0
10,STRUTHIONIFORMES,Tinamidae,Tinamous,Black Tinamou,Tinamus osgoodi,VU,0,1,1,0,1,0,0,0,0,0,0,0
11,STRUTHIONIFORMES,Tinamidae,Tinamous,Great Tinamou,Tinamus major,LC,0,1,1,1,1,0,0,0,0,0,0,0
12,STRUTHIONIFORMES,Tinamidae,Tinamous,White-throated Tinamou,Tinamus guttatus,NT,0,1,0,0,1,0,0,0,0,0,0,0
13,STRUTHIONIFORMES,Tinamidae,Tinamous,Berlepsch's Tinamou,Crypturellus berlepschi,LC,0,0,0,0,0,0,0,0,0,0,0,0
14,STRUTHIONIFORMES,Tinamidae,Tinamous,Cinereous Tinamou,Crypturellus cinereus,LC,0,0,0,0,0,0,0,0,0,0,0,0
15,STRUTHIONIFORMES,Tinamidae,Tinamous,Tepui Tinamou,Crypturellus ptaritepui,LC,0,1,0,0,1,0,1,0,0,0,0,0
16,STRUTHIONIFORMES,Tinamidae,Tinamous,Little Tinamou,Crypturellus soui,LC,0,0,0,0,0,0,0,0,0,0,0,0
17,STRUTHIONIFORMES,Tinamidae,Tinamous,Brown Tinamou,Crypturellus obsoletus,LC,0,1,0,0,1,0,0,0,0,0,0,0
18,STRUTHIONIFORMES,Tinamidae,Tinamous,Undulated Tinamou,Crypturellus undulatus,LC,0,0,0,0,0,0,0,0,0,0,0,0
19,STRUTHIONIFORMES,Tinamidae,Tinamous,Brazilian Tinamou,Crypturellus strigulosus,LC,0,0,0,0,0,0,0,0,0,0,0,0
20,STRUTHIONIFORMES,Tinamidae,Tinamous,Grey-legged Tinamou,Crypturellus duidae,LC,0,1,0,0,1,0,0,0,0,0,0,0
21,STRUTHIONIFORMES,Tinamidae,Tinamous,Red-legged Tinamou,Crypturellus erythropus,LC,0,1,0,0,1,0,0,0,0,0,0,0
22,STRUTHIONIFORMES,Tinamidae,Tinamous,Yellow-legged Tinamou,Crypturellus noctivagus,NT,0,1,0,0,1,0,0,0,0,0,0,0
23,STRUTHIONIFORMES,Tinamidae,Tinamous,Black-capped Tinamou,Crypturellus atrocapillus,LC,0,1,0,0,1,0,0,0,0,0,0,0
24,STRUTHIONIFORMES,Tinamidae,Tinamous,Thicket Tinamou,Crypturellus cinnamomeus,LC,0,0,0,0,1,0,0,0,0,0,0,0
25,STRUTHIONIFORMES,Tinamidae,Tinamous,Pale-browed Tinamou,Crypturellus transfasciatus,NT,0,1,0,0,1,0,0,0,0,0,0,0
26,STRUTHIONIFORMES,Tinamidae,Tinamous,Slaty-breasted Tinamou,Crypturellus boucardi,VU,0,1,0,0,1,0,0,0,0,0,0,0
27,STRUTHIONIFORMES,Tinamidae,Tinamous,Choco Tinamou,Crypturellus kerriae,NT,0,1,1,1,1,0,0,0,0,0,0,0
28,STRUTHIONIFORMES,Tinamidae,Tinamous,Variegated Tinamou,Crypturellus variegatus,LC,0,0,0,0,0,0,0,0,0,0,0,0
29,STRUTHIONIFORMES,Tinamidae,Tinamous,Rusty Tinamou,Crypturellus brevirostris,LC,0,0,0,0,0,0,0,0,0,0,0,0
30,STRUTHIONIFORMES,Tinamidae,Tinamous,Bartlett's Tinamou,Crypturellus bartletti,LC,0,0,0,0,0,0,0,0,0,0,0,0
31,STRUTHIONIFORMES,Tinamidae,Tinamous,Barred Tinamou,Crypturellus casiquiare,LC,0,0,0,0,0,0,0,0,0,0,0,0
32,STRUTHIONIFORMES,Tinamidae,Tinamous,Small-billed Tinamou,Crypturellus parvirostris,LC,0,0,0,0,0,0,0,0,0,0,0,0
33,STRUTHIONIFORMES,Tinamidae,Tinamous,Tataupa Tinamou,Crypturellus tataupa,LC,0,0,0,0,0,0,0,0,0,0,0,0
34,STRUTHIONIFORMES,Tinamidae,Tinamous,Red-winged Tinamou,Rhynchotus rufescens,LC,0,0,0,0,0,0,0,0,0,0,0,0
35,STRUTHIONIFORMES,Tinamidae,Tinamous,Huayco Tinamou,Rhynchotus maculicollis,LC,0,0,0,0,0,0,0,0,0,0,0,0
36,STRUTHIONIFORMES,Tinamidae,Tinamous,Taczanowski's Tinamou,Nothoprocta taczanowskii,VU,0,1,0,0,1,0,1,0,0,0,0,0
37,STRUTHIONIFORMES,Tinamidae,Tinamous,Ornate Tinamou,Nothoprocta ornata,LC,0,0,0,0,0,0,0,0,0,0,0,0
38,STRUTHIONIFORMES,Tinamidae,Tinamous,Chilean Tinamou,Nothoprocta perdicaria,LC,0,0,0,0,0,0,0,0,0,0,0,0
39,STRUTHIONIFORMES,Tinamidae,Tinamous,Brushland Tinamou,Nothoprocta cinerascens,LC,0,0,0,0,0,0,0,0,0,0,0,0
40,STRUTHIONIFORMES,Tinamidae,Tinamous,Andean Tinamou,Nothoprocta pentlandii,LC,0,0,0,0,0,0,0,0,0,0,0,0
41,STRUTHIONIFORMES,Tinamidae,Tinamous,Curve-billed Tinamou,Nothoprocta curvirostris,LC,0,0,0,0,0,0,0,0,0,0,0,0
42,STRUTHIONIFORMES,Tinamidae,Tinamous,White-bellied Nothura,Nothura boraquira,LC,0,0,0,0,0,0,0,0,0,0,0,0
43,STRUTHIONIFORMES,Tinamidae,Tinamous,Lesser Nothura,Nothura minor,VU,0,1,0,0,0,1,1,1,1,0,1,0
44,STRUTHIONIFORMES,Tinamidae,Tinamous,Darwin's Nothura,Nothura darwinii,LC,0,0,0,0,0,0,0,0,0,0,0,0
45,STRUTHIONIFORMES,Tinamidae,Tinamous,Spotted Nothura,Nothura maculosa,LC,0,1,0,0,1,0,0,0,0,0,0,0
46,STRUTHIONIFORMES,Tinamidae,Tinamous,Dwarf Tinamou,Taoniscus nanus,EN,0,1,0,0,0,0,1,1,1,0,0,0
47,STRUTHIONIFORMES,Tinamidae,Tinamous,Elegant Crested Tinamou,Eudromia elegans,LC,0,0,0,0,0,0,0,0,0,0,0,0
48,STRUTHIONIFORMES,Tinamidae,Tinamous,Quebracho Crested Tinamou,Eudromia formosa,LC,0,0,0,0,0,0,0,0,0,0,0,0
49,STRUTHIONIFORMES,Tinamidae,Tinamous,Puna Tinamou,Tinamotis pentlandii,LC,0,0,0,0,0,0,0,0,0,0,0,0
50,STRUTHIONIFORMES,Tinamidae,Tinamous,Patagonian Tinamou,Tinamotis ingoufi,LC,0,0,0,0,0,0,0,0,0,0,0,0
51,STRUTHIONIFORMES,Casuariidae,"Cassowaries, Emus",Southern Cassowary,Casuarius casuarius,LC,1,1,0,1,1,0,1,1,0,0,1,0
52,STRUTHIONIFORMES,Casuariidae,"Cassowaries, Emus",Dwarf Cassowary,Casuarius bennetti,LC,0,1,0,1,1,0,0,1,0,0,0,0
53,STRUTHIONIFORMES,Casuariidae,"Cassowaries, Emus",Northern Cassowary,Casuarius unappendiculatus,LC,0,1,0,0,1,0,0,0,0,0,0,0
54,STRUTHIONIFORMES,Casuariidae,"Cassowaries, Emus",Common Emu,Dromaius novaehollandiae,LC,0,0,0,0,0,0,0,0,0,0,0,0
55,STRUTHIONIFORMES,Casuariidae,"Cassowaries, Emus",King Island Emu,Dromaius minor,EX,0,0,0,0,1,0,0,0,0,0,0,0
56,STRUTHIONIFORMES,Casuariidae,"Cassowaries, Emus",Kangaroo Island Emu,Dromaius baudinianus,EX,0,0,0,0,1,0,1,0,0,0,0,0
57,STRUTHIONIFORMES,Apterygidae,Kiwis,Great Spotted Kiwi,Apteryx haastii,VU,0,0,0,0,0,0,0,1,0,0,0,0
58,STRUTHIONIFORMES,Apterygidae,Kiwis,Little Spotted Kiwi,Apteryx owenii,NT,0,0,0,0,0,0,0,1,0,0,0,0
59,STRUTHIONIFORMES,Apterygidae,Kiwis,North Island Brown Kiwi,Apteryx mantelli,VU,0,1,0,0,0,0,0,1,0,0,0,0
60,STRUTHIONIFORMES,Apterygidae,Kiwis,Southern Brown Kiwi,Apteryx australis,VU,0,0,0,0,0,0,0,1,0,0,0,0
61,STRUTHIONIFORMES,Apterygidae,Kiwis,Okarito Kiwi,Apteryx rowi,VU,0,1,0,1,0,0,0,1,0,0,0,0
62,GALLIFORMES,Megapodiidae,Megapodes,Australian Brushturkey,Alectura lathami,LC,0,0,0,0,0,0,0,0,0,0,0,0
63,GALLIFORMES,Megapodiidae,Megapodes,Wattled Brushturkey,Aepypodius arfakianus,LC,0,0,0,0,0,0,0,0,0,0,0,0
64,GALLIFORMES,Megapodiidae,Megapodes,Waigeo Brushturkey,Aepypodius bruijnii,EN,0,0,0,0,1,0,1,1,0,0,1,0
65,GALLIFORMES,Megapodiidae,Megapodes,Red-billed Brushturkey,Talegalla cuvieri,LC,0,1,0,0,1,0,0,0,0,0,0,0
66,GALLIFORMES,Megapodiidae,Megapodes,Yellow-legged Brushturkey,Talegalla fuscirostris,LC,0,0,0,0,0,0,0,0,0,0,0,0
67,GALLIFORMES,Megapodiidae,Megapodes,Red-legged Brushturkey,Talegalla jobiensis,LC,0,0,0,0,0,0,0,0,0,0,0,0
68,GALLIFORMES,Megapodiidae,Megapodes,Malleefowl,Leipoa ocellata,VU,0,1,0,1,0,0,1,1,1,0,1,0
69,GALLIFORMES,Megapodiidae,Megapodes,Maleo,Macrocephalon maleo,CR,1,1,1,1,1,1,1,1,0,0,0,0
70,GALLIFORMES,Megapodiidae,Megapodes,Moluccan Scrubfowl,Eulipoa wallacei,VU,0,1,1,1,1,0,0,1,0,0,0,0
71,GALLIFORMES,Megapodiidae,Megapodes,Nicobar Scrubfowl,Megapodius nicobariensis,VU,1,1,0,1,1,0,0,1,0,0,1,0
72,GALLIFORMES,Megapodiidae,Megapodes,Philippine Scrubfowl,Megapodius cumingii,LC,0,1,0,0,1,0,0,0,0,0,0,0
73,GALLIFORMES,Megapodiidae,Megapodes,Sula Scrubfowl,Megapodius bernsteinii,VU,0,1,0,0,1,0,0,1,0,0,0,0
74,GALLIFORMES,Megapodiidae,Megapodes,Tanimbar Scrubfowl,Megapodius tenimberensis,VU,0,0,0,0,1,0,0,1,0,0,0,0
75,GALLIFORMES,Megapodiidae,Megapodes,Vanuatu Scrubfowl,Megapodius layardi,LC,0,1,0,0,1,0,1,1,0,0,1,0
76,GALLIFORMES,Megapodiidae,Megapodes,Micronesian Scrubfowl,Megapodius laperouse,NT,1,1,0,0,1,1,0,1,0,1,1,0
77,GALLIFORMES,Megapodiidae,Megapodes,Tongan Scrubfowl,Megapodius pritchardii,VU,0,0,0,0,1,0,0,1,0,1,1,0
78,GALLIFORMES,Megapodiidae,Megapodes,Dusky Scrubfowl,Megapodius freycinet,LC,0,1,0,0,1,0,0,0,0,0,0,0
79,GALLIFORMES,Megapodiidae,Megapodes,Biak Scrubfowl,Megapodius geelvinkianus,NT,1,1,0,0,1,0,0,1,0,0,1,0
80,GALLIFORMES,Megapodiidae,Megapodes,New Guinea Scrubfowl,Megapodius decollatus,LC,0,0,0,0,0,0,0,0,0,0,0,0
81,GALLIFORMES,Megapodiidae,Megapodes,Melanesian Scrubfowl,Megapodius eremita,LC,0,0,0,0,0,0,0,0,0,0,0,0
82,GALLIFORMES,Megapodiidae,Megapodes,Orange-footed Scrubfowl,Megapodius reinwardt,LC,0,0,0,0,0,0,0,0,0,0,0,0
83,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",Black Guan,Chamaepetes unicolor,LC,0,1,0,0,1,0,1,0,0,0,0,0
84,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",Sickle-winged Guan,Chamaepetes goudotii,LC,0,0,0,0,0,0,0,0,0,0,0,0
85,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",Highland Guan,Penelopina nigra,VU,0,1,1,0,1,0,0,0,0,0,1,0
86,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",Band-tailed Guan,Penelope argyrotis,LC,0,1,0,0,1,0,1,0,0,0,0,0
87,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",Bearded Guan,Penelope barbata,NT,0,1,1,1,1,0,0,0,0,0,0,0
88,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",Baudo Guan,Penelope ortoni,EN,1,1,1,1,1,0,0,0,0,0,0,0
89,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",Andean Guan,Penelope montagnii,LC,0,0,0,0,0,0,0,0,0,0,0,0
90,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",Marail Guan,Penelope marail,LC,0,0,0,0,0,0,0,0,0,0,0,0
91,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",Rusty-margined Guan,Penelope superciliaris,NT,0,1,0,1,1,0,0,0,0,0,0,0
92,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",Red-faced Guan,Penelope dabbenei,LC,0,0,0,0,0,0,0,0,0,0,0,0
93,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",Spix's Guan,Penelope jacquacu,LC,0,0,0,0,0,0,0,0,0,0,0,0
94,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",Crested Guan,Penelope purpurascens,NT,0,1,0,0,1,0,0,0,0,0,0,0
95,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",Cauca Guan,Penelope perspicax,VU,1,1,0,0,1,0,0,0,0,0,0,0
96,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",White-winged Guan,Penelope albipennis,EN,0,1,1,0,1,0,0,0,0,0,0,0
97,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",Dusky-legged Guan,Penelope obscura,LC,0,0,0,0,0,0,0,0,0,0,0,0
98,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",White-crested Guan,Penelope pileata,VU,0,1,0,0,1,0,0,0,0,0,0,0
99,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",Chestnut-bellied Guan,Penelope ochrogaster,VU,0,1,1,0,1,0,0,0,0,0,1,0
100,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",White-browed Guan,Penelope jacucaca,VU,0,1,0,0,1,0,0,0,0,0,0,0
101,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",Trinidad Piping-guan,Pipile pipile,CR,0,1,0,0,1,0,0,0,0,0,1,0
102,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",Blue-throated Piping-guan,Pipile cumanensis,LC,0,0,0,0,0,0,0,0,0,0,0,0
103,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",White-throated Piping-guan,Pipile grayi,NT,1,1,0,0,1,0,0,0,0,0,0,0
104,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",Red-throated Piping-guan,Pipile cujubi,VU,0,1,1,1,1,0,1,0,0,0,1,0
105,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",Black-fronted Piping-guan,Pipile jacutinga,EN,0,1,0,0,1,0,1,0,0,0,0,0
106,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",Wattled Guan,Aburria aburri,LC,0,1,0,0,1,0,0,0,0,0,0,0
107,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",Horned Guan,Oreophasis derbianus,EN,0,1,0,1,1,0,0,1,0,0,1,0
108,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",Plain Chachalaca,Ortalis vetula,LC,0,0,0,0,0,0,0,0,0,0,0,0
109,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",Grey-headed Chachalaca,Ortalis cinereiceps,LC,0,0,0,0,0,0,0,0,0,0,0,0
110,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",Chestnut-winged Chachalaca,Ortalis garrula,LC,0,0,0,0,0,0,0,0,0,0,0,0
111,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",Rufous-vented Chachalaca,Ortalis ruficauda,LC,0,0,0,0,0,0,0,0,0,0,0,0
112,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",Rufous-headed Chachalaca,Ortalis erythroptera,VU,0,1,1,0,1,0,0,0,0,0,0,0
113,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",Rufous-bellied Chachalaca,Ortalis wagleri,LC,1,0,0,0,1,0,0,0,0,0,0,0
114,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",West Mexican Chachalaca,Ortalis poliocephala,LC,0,0,0,0,0,0,0,0,0,0,0,0
115,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",Chaco Chachalaca,Ortalis canicollis,LC,0,0,0,0,0,0,0,0,0,0,0,0
116,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",White-bellied Chachalaca,Ortalis leucogastra,LC,0,0,0,0,0,0,0,0,0,0,0,0
117,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",Colombian Chachalaca,Ortalis columbiana,LC,0,0,0,0,0,0,0,0,0,0,0,0
118,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",Speckled Chachalaca,Ortalis guttata,LC,0,0,0,0,0,0,0,0,0,0,0,0
119,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",East Brazilian Chachalaca,Ortalis araucuan,LC,0,0,0,0,0,0,0,0,0,0,0,0
120,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",Scaled Chachalaca,Ortalis squamata,LC,0,0,0,0,1,0,0,0,0,0,0,0
121,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",Little Chachalaca,Ortalis motmot,LC,0,0,0,0,0,0,0,0,0,0,0,0
122,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",Buff-browed Chachalaca,Ortalis superciliaris,LC,0,1,0,0,1,0,0,0,0,0,0,0
123,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",Nocturnal Curassow,Nothocrax urumutum,LC,0,0,0,0,0,0,0,0,0,0,0,0
124,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",Great Curassow,Crax rubra,VU,0,1,0,1,1,0,1,1,0,0,1,0
125,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",Blue-billed Curassow,Crax alberti,CR,1,1,1,1,1,0,0,0,1,0,0,0
126,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",Yellow-knobbed Curassow,Crax daubentoni,NT,0,1,0,0,1,0,0,0,0,0,0,0
127,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",Black Curassow,Crax alector,LC,0,1,1,0,1,0,0,0,0,0,0,0
128,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",Bare-faced Curassow,Crax fasciolata,VU,0,1,1,0,1,0,0,0,0,0,0,0
129,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",Belem Curassow,Crax pinima,CR,0,1,0,0,1,0,1,0,0,0,0,0
130,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",Wattled Curassow,Crax globulosa,EN,0,1,0,0,1,0,0,0,0,0,0,0
131,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",Red-billed Curassow,Crax blumenbachii,EN,0,1,0,0,1,0,0,0,0,0,0,0
132,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",Crestless Curassow,Mitu tomentosum,LC,0,1,0,0,1,0,0,0,0,0,0,0
133,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",Alagoas Curassow,Mitu mitu,EW,0,1,0,0,1,0,0,0,0,0,0,0
134,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",Razor-billed Curassow,Mitu tuberosum,NT,0,1,0,1,1,0,1,0,0,0,0,0
135,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",Salvin's Curassow,Mitu salvini,LC,0,0,0,0,0,0,0,0,0,0,0,0
136,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",Horned Curassow,Pauxi unicornis,EN,0,1,1,1,1,0,0,0,0,0,1,0
137,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",Sira Curassow,Pauxi koepckeae,CR,0,1,1,1,1,0,0,0,0,0,0,0
138,GALLIFORMES,Cracidae,"Guans, Chachalacas, Curassows",Helmeted Curassow,Pauxi pauxi,VU,0,1,0,0,1,0,0,0,0,0,0,0
139,GALLIFORMES,Numididae,Guineafowl,Helmeted Guineafowl,Numida meleagris,LC,0,0,0,0,0,0,0,0,0,0,0,0
140,GALLIFORMES,Numididae,Guineafowl,White-breasted Guineafowl,Agelastes meleagrides,VU,0,1,0,0,1,0,0,1,0,0,0,0
141,GALLIFORMES,Numididae,Guineafowl,Black Guineafowl,Agelastes niger,LC,0,0,0,0,1,0,0,0,0,0,0,0
142,GALLIFORMES,Numididae,Guineafowl,Vulturine Guineafowl,Acryllium vulturinum,LC,0,0,0,0,0,0,0,0,0,0,0,0
143,GALLIFORMES,Numididae,Guineafowl,Plumed Guineafowl,Guttera plumifera,LC,0,0,0,0,0,0,0,0,0,0,0,0
144,GALLIFORMES,Numididae,Guineafowl,Western Crested Guineafowl,Guttera verreauxi,LC,0,0,0,0,0,0,0,0,0,0,0,0
145,GALLIFORMES,Numididae,Guineafowl,Eastern Crested Guineafowl,Guttera pucherani,LC,0,0,0,0,0,0,0,0,0,0,0,0
146,GALLIFORMES,Numididae,Guineafowl,Southern Crested Guineafowl,Guttera edouardi,LC,0,0,0,0,0,0,0,0,0,0,0,0
147,GALLIFORMES,Odontophoridae,New World Quails,Stone Partridge,Ptilopachus petrosus,LC,0,0,0,0,0,0,0,0,0,0,0,0
148,GALLIFORMES,Odontophoridae,New World Quails,Nahan's Partridge,Ptilopachus nahani,VU,0,1,0,0,1,1,0,1,0,0,0,0
149,GALLIFORMES,Odontophoridae,New World Quails,Banded Quail,Philortyx fasciatus,LC,0,0,0,0,0,0,0,0,0,0,0,0
150,GALLIFORMES,Odontophoridae,New World Quails,Mountain Quail,Oreortyx pictus,LC,0,0,0,0,0,0,0,0,0,0,0,0
151,GALLIFORMES,Odontophoridae,New World Quails,Northern Bobwhite,Colinus virginianus,NT,0,1,0,0,1,0,1,0,0,0,0,0
152,GALLIFORMES,Odontophoridae,New World Quails,Black-throated Bobwhite,Colinus nigrogularis,LC,0,0,0,0,0,0,0,0,0,0,0,0
153,GALLIFORMES,Odontophoridae,New World Quails,Spot-bellied Bobwhite,Colinus leucopogon,LC,0,0,0,0,0,0,0,0,0,0,0,0
154,GALLIFORMES,Odontophoridae,New World Quails,Crested Bobwhite,Colinus cristatus,LC,0,0,0,0,0,0,0,0,0,0,0,0
155,GALLIFORMES,Odontophoridae,New World Quails,Scaled Quail,Callipepla squamata,LC,0,0,0,0,0,0,0,0,0,0,0,0
156,GALLIFORMES,Odontophoridae,New World Quails,Elegant Quail,Callipepla douglasii,LC,0,0,0,0,0,0,0,0,0,0,0,0
157,GALLIFORMES,Odontophoridae,New World Quails,Gambel's Quail,Callipepla gambelii,LC,0,0,0,0,0,0,0,0,0,0,0,0
158,GALLIFORMES,Odontophoridae,New World Quails,California Quail,Callipepla californica,LC,0,0,0,0,0,0,0,0,0,0,0,0
159,GALLIFORMES,Odontophoridae,New World Quails,Bearded Wood-partridge,Dendrortyx barbatus,VU,1,1,0,1,1,0,0,0,0,0,0,0
160,GALLIFORMES,Odontophoridae,New World Quails,Long-tailed Wood-partridge,Dendrortyx macroura,LC,0,0,0,0,1,0,0,0,0,0,0,0
161,GALLIFORMES,Odontophoridae,New World Quails,Buffy-crowned Wood-partridge,Dendrortyx leucophrys,LC,0,0,0,0,0,0,0,0,0,0,0,0
162,GALLIFORMES,Odontophoridae,New World Quails,Marbled Wood-quail,Odontophorus gujanensis,LC,0,1,0,0,1,0,0,0,0,0,0,0
163,GALLIFORMES,Odontophoridae,New World Quails,Spot-winged Wood-quail,Odontophorus capueira,LC,0,0,0,0,0,0,0,0,0,0,0,0
164,GALLIFORMES,Odontophoridae,New World Quails,Black-eared Wood-quail,Odontophorus melanotis,NT,0,1,0,0,1,0,0,0,0,0,0,0
165,GALLIFORMES,Odontophoridae,New World Quails,Rufous-fronted Wood-quail,Odontophorus erythrops,LC,0,0,0,0,0,0,0,0,0,0,0,0
166,GALLIFORMES,Odontophoridae,New World Quails,Black-fronted Wood-quail,Odontophorus atrifrons,LC,0,1,0,0,1,0,0,0,1,0,0,0
167,GALLIFORMES,Odontophoridae,New World Quails,Chestnut Wood-quail,Odontophorus hyperythrus,LC,1,1,0,0,1,0,0,1,0,0,0,0
168,GALLIFORMES,Odontophoridae,New World Quails,Dark-backed Wood-quail,Odontophorus melanonotus,LC,1,1,0,0,1,0,0,0,0,0,0,0
169,GALLIFORMES,Odontophoridae,New World Quails,Rufous-breasted Wood-quail,Odontophorus speciosus,LC,0,1,0,1,1,0,0,1,0,0,0,0
170,GALLIFORMES,Odontophoridae,New World Quails,Tacarcuna Wood-quail,Odontophorus dialeucos,LC,0,1,1,0,1,0,0,0,0,0,0,0
171,GALLIFORMES,Odontophoridae,New World Quails,Gorgeted Wood-quail,Odontophorus strophium,VU,1,1,0,1,1,0,0,1,0,0,0,0
172,GALLIFORMES,Odontophoridae,New World Quails,Venezuelan Wood-quail,Odontophorus columbianus,NT,0,1,0,0,1,0,0,0,0,0,0,0
173,GALLIFORMES,Odontophoridae,New World Quails,Black-breasted Wood-quail,Odontophorus leucolaemus,LC,0,0,0,0,1,0,0,0,0,0,0,0
174,GALLIFORMES,Odontophoridae,New World Quails,Stripe-faced Wood-quail,Odontophorus balliviani,LC,0,0,0,0,0,0,0,0,0,0,0,0
175,GALLIFORMES,Odontophoridae,New World Quails,Starred Wood-quail,Odontophorus stellatus,LC,0,0,0,0,0,0,0,0,0,0,0,0
176,GALLIFORMES,Odontophoridae,New World Quails,Spotted Wood-quail,Odontophorus guttatus,LC,0,0,0,0,0,0,0,0,0,0,0,0
177,GALLIFORMES,Odontophoridae,New World Quails,Tawny-faced Quail,Rhynchortyx cinctus,NT,0,1,0,0,1,0,0,1,0,0,0,0
178,GALLIFORMES,Odontophoridae,New World Quails,Singing Quail,Dactylortyx thoracicus,LC,0,0,0,0,0,0,0,0,0,0,0,0
179,GALLIFORMES,Odontophoridae,New World Quails,Montezuma Quail,Cyrtonyx montezumae,LC,0,0,0,0,0,0,0,0,0,0,0,0
